Date,Transacciones/segundo,BTC-USD
2019-11-19,3.5561197916666853,8136.2767
2019-11-20,3.500520833333353,8098.3183
2019-11-21,3.6082031250000197,7633.95
2019-11-22,3.548567708333353,7292.74
2019-11-25,3.4428385416666862,7136.7617
2019-11-26,3.1581250000000223,7175.5267
2019-11-27,3.5716145833333552,7531.8283
2019-11-29,3.4259114583333536,7770.54
2019-12-02,3.4650000000000167,7320.8167
2019-12-03,3.621354166666683,7312.8833
2019-12-04,3.712369791666683,7211.35
2019-12-05,3.5227864583333512,7404.4033
2019-12-06,3.457942708333351,7556.8817
2019-12-09,3.586848958333351,7351.3367
2019-12-10,3.5764322916666824,7232.8433
2019-12-11,3.405729166666679,7213.4767
2019-12-12,3.498958333333346,7199.51
2019-12-13,3.5479166666666764,7263.045
