Date,Volumen BTC,BTC-USD,SP500-USD,Volumen SP500,VIX
2019-11-08,3.48242187500001,8770.3617,308.940002,49032100,12.07
2019-11-11,3.6585937500000094,8726.36,308.350006,35797300,12.69
2019-11-12,3.4981770833333448,8820.2333,309.0,46295000,12.68
2019-11-13,3.3955729166666804,8775.1017,309.100006,53917700,13.0
2019-11-14,3.8132291666666815,8639.1833,309.549988,51219900,13.05
2019-11-15,3.5158854166666815,8471.2783,311.790009,62023600,12.05
2019-11-18,3.488932291666684,8191.0667,312.019989,49228000,12.46
2019-11-19,3.5561197916666853,8136.2767,311.929993,67804700,12.86
2019-11-20,3.500520833333353,8098.3183,310.769989,79406200,12.78
2019-11-21,3.6082031250000197,7633.95,310.269989,54664700,13.13
2019-11-22,3.548567708333353,7292.74,310.959991,44850200,12.34
2019-11-25,3.4428385416666862,7136.7617,313.369995,48647200,11.87
2019-11-26,3.1581250000000223,7175.5267,314.079987,37569000,11.54
2019-11-27,3.5716145833333552,7531.8283,315.480011,44444600,11.75
2019-11-29,3.4259114583333536,7770.54,314.309998,36592700,12.62
2019-12-02,3.4650000000000167,7320.8167,311.640015,75767800,14.91
2019-12-03,3.621354166666683,7312.8833,309.549988,73941700,15.96
2019-12-04,3.712369791666683,7211.35,311.459991,49080000,14.8
2019-12-05,3.5227864583333512,7404.4033,312.019989,40709000,14.52
2019-12-06,3.457942708333351,7556.8817,314.869995,48927000,13.62
2019-12-09,3.586848958333351,7351.3367,313.880005,34838500,15.86
2019-12-10,3.5764322916666824,7232.8433,313.52999900000003,52649800,15.68
2019-12-11,3.405729166666679,7213.4767,314.420013,53429100,14.99
2019-12-12,3.498958333333346,7199.51,317.130005,96389600,13.94
2019-12-13,3.5479166666666764,7263.045,317.320007,81503900,12.63
2019-12-16,3.753645833333335,6893.2367,319.5,82749700,12.14
2019-12-17,3.493489583333333,6633.3717,319.570007,61097700,12.29
2019-12-18,3.471093750000002,7299.7367,319.589996,48133000,12.58
2019-12-19,3.567812500000001,7161.965,320.899994,85310500,12.5
2019-12-20,3.719531250000003,7198.785,320.730011,147142100,12.51
2019-12-23,3.513671875000004,7324.495,321.22000099999997,52990000,12.61
2019-12-24,3.1812500000000044,7261.025,321.230011,20270000,12.67
2019-12-26,3.434244791666674,7205.8033,322.940002,30911200,12.65
2019-12-27,3.5190104166666747,7259.67,322.859985,42528800,13.43
