Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
ETIQUETAS BLANCAS PARA LASER JANEL CON 25 HOJAS,1085261101,JANEL,80.15,ETIQUETAS BLANCAS JANEL MODELO J-5261 PARA LASER INKJET Y COPIADORAS MEDIDA 2.5 CM X 10.2 CM CON 25 HOJAS 20 ETIQUETAS POR HOJA,https://henki.com.mx/erp/shared_resources/productos/ETIQUETAS BLANCAS JANEL MODELO J-5261-.jpg
FOLIADOR AUTOMATICO 6 DIGITOS PEGASO,600F,PEGASO,487.28,FOLIADOR AUTOMATICO 6 DIGITOS PEGASO,https://henki.com.mx/erp/shared_resources/restore/1123qrw2cqr20o.jpg
COMPAS DE PRESICION DE PLASTICO MAE,CPP-2,MAE,20.0,"COMPAS DE PRESICION DE PLASTICO MAE, EN BLISTER DE 1 PIEZA EN COLORES NARANJA, AZUL, VERDE Y ROSA, CON MINAS DE REPUESTO, MODELO CPP-2",https://henki.com.mx/erp/shared_resources/restore/1360vu9x2alc9b.png
FOAMY TAMAÑO CARTA DIAMANTADO CON 5 COLORES SURTIDOS,FDMC-S,MAE,44.71,"FOAMY TAMAÑO CARTA DIAMANTADO MAE, MEDIDA 21.5 X 28 CM, PAQUETE CON 5 PIEZAS EN COLORES SURTIDOS, MODELO FDMC-S",https://henki.com.mx/erp/shared_resources/restore/1499xie6b3qrsj.jpg
MARCADOR PERMANENTE NEGRO PELIKAN,30260009,PELIKAN,20.07,MARCADOR PERMANENTE AZUL PELIKAN 540 CUERPO METALICO PUNTA DE CINCEL,https://henki.com.mx/erp/shared_resources/productos/3267RE.png
TINTA SELLO AZUL STAMP PAD INK COLOP,801A,COLOP,72.89,"TINTA PARA SELLO STAMP PAD INK 801A, AZUL 25 ML COLOP",https://henki.com.mx/erp/shared_resources/restore/1027zrhdo2eo45.png
SUJETADOCUMENTOS 51 MM BARRILITO,PZ51,BARRILITO,76.67,"SUJETADOCUMENTOS 51 MM BARRILITO 2"" MODELO PZ51 CON 12 PIEZAS",https://henki.com.mx/erp/shared_resources/productos/BAR-SUJ51-594.jpg
CINTA ADHESIVA INVISIBLE JANEL 810 18 MM X 33 MTS,8101833100,JANEL,25.68,CINTA ADHESIVA INVISIBLE JANEL 810 MEDIDA 18 MM X 33 MTS ,https://henki.com.mx/erp/shared_resources/productos/JAN-CINADH-923.jpg
CINTA ADHESIVA MAGICA 3M 18 MM X 33 MTS,810,3M,58.8,CINTA ADHESIVA MAGICA 3M EN CAJA MODELO 810 MEDIDA 18 MM X 33 MTS,https://henki.com.mx/erp/shared_resources/productos/3M-CINADH-973.jpg
PAPEL CONTAC PVC AUTOADHERIBLE 45X10 BARRILITO ,7010,BARRILITO,118.06,"ROLLO PAPEL CONTAC PVC AUTOADHERIBLE TRANSPARENTE DE 45 CMS X 10 MTS MODELO 7010 PARA PROTEGER CUALQUIER TIPO DE DOCUMENTO CONTRA HUMEDAD Y POLVO BARRILITO 
",https://henki.com.mx/erp/shared_resources/productos/BAR-ROLPAP-1027-.jpg
ARILLOS DE PLASTICO CERLOX GBC 5/16 COLOR NEGRO,M080131,GBC,57.77,"ARILLOS DE PLASTICO PARA ENGARGOLAR 5/16"" CERLOX GBC MODELO M080131 COLOR NEGRO CAPACIDAD 21-35 HOJAS PAQUETE CON 25 ARILLOS",https://henki.com.mx/erp/shared_resources/productos/ACC-ARIDE-1370.jpg-.jpg
ACUARELAS PELIKAN CON 12 ,07501208,PELIKAN,28.4,ACUARELAS PELIKAN ESTUCHE DE CARTON CON 12 PASTILLAS INCLUYE 1 PINCEL ,https://henki.com.mx/erp/shared_resources/restore/1088wtxvnt8u97.png
COJIN PARA HUELLAS DACTILARES AZOR,62,AZOR,21.27,COJIN PARA HUELLAS DACTILARES COLOR NEGRO NO TOXICO PIEZA,https://henki.com.mx/erp/shared_resources/restore/1079r4kb3qt437.png
ETIQUETAS BLANCAS PARA LASER JANEL CON 100 HOJAS,1095261101,JANEL,279.04,ETIQUETAS BLANCAS JANEL MODELO J-5261 PARA LASER INKJET Y COPIADORAS MEDIDA 2.5 CM X 10.2 CM CON 100 HOJAS 20 ETIQUETAS POR HOJA,https://henki.com.mx/erp/shared_resources/productos/JAN-ETIBLA-199-.jpg
ETIQUETAS BLANCAS PARA LASER TRANSFER,ELI01020,TRANSFER,61.8,ETIQUETAS BLANCAS TRANSFER PARA LASER MODELO ELI01020 MEDIDA 2 X 4 PULGADAS 20 PLANILLAS CON 20 ETIQUETAS C/U,https://henki.com.mx/erp/shared_resources/productos/393RE.png
BOLIGRAFO ROLLERBALL STICK GEL 200 NEGRO,8911-00,ZEBRA,13.08,BOLIGRAFO ZEBRA ROLLEBALL STICK GEL 200 NEGRO MODELO 8911-00 PUNTO MEDIANO 0.7 MM,https://henki.com.mx/erp/shared_resources/productos/ZEB-BOLROL-828.jpg
PORTAMINAS ZEBRA M-301 0.7 MM ,6000-00,ZEBRA,60.0,PORTAMINAS ZEBRA M-301 MODELO 6000-00 0.7 MM ,https://henki.com.mx/erp/shared_resources/productos/ZEB-PORZEB-863.jpg-.jpg
PORTAMINAS REX GRIP 0.5 MM PILOT,EMP-210,PILOT,38.93,PORTAMINAS REX GRIP PILOT 0.5 MM MODELO HRG-10R-BGD,https://henki.com.mx/erp/shared_resources/productos/PIL-PORREX-864.jpg-.jpg
CUBIERTA PLASTICA CARTA GBC PREMIUM RAYADO CRISTAL,P3542,ACCO,222.64,"CUBIERTA PLASTICA PARA ENGARGOLAR GBPLAK PREMIUM, MODELO P3542, COLOR CRISTAL, RAYADA, TAMAÑO CARTA CON 50 PIEZAS",https://henki.com.mx/erp/shared_resources/restore/1122b0mgfyqml3.png
MICA TERMICA MODELO 1204 GBC ,M130131,ACCO,97.37,MICA TERMICA GBC MODELO 1204 10 MILESIMAS MEDIDA 6.5 CM X 9.5 CM CON 100 PIEZAS INCLUYE ACARREADOR,https://henki.com.mx/erp/shared_resources/productos/ACC-MICTER-1274.jpg-.jpg
PUNTILLAS HB 0.5 MM STAEDTLER,25005HB,STAEDTLER,28.68,PUNTILLAS FINAS HB 0.5 MM STAEDTLER TUBO CON 12 MINAS,https://henki.com.mx/erp/shared_resources/productos/7508205123164.jpg-.jpg
FOLDER CON BROCHE 8 CMS TAMAÑO OFICIO CON REFUERZO AZUL CLARO CLARO ,P1195,ACCO,24.76,FOLDER TAMAÑO OFICIO EN CARTULINA PRESSBOARD DE 326 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS Y REFUERZO CON BROCHE DE 8 CMS MEDIDAS 25 X 37 CMS MODELO P1195 COLOR AZUL CLARO ACCOPRESS CRH,https://henki.com.mx/erp/shared_resources/productos/ACC-FOLACC-2391.jpg
CARPETA BLANCA PANORAMICA ACCO T/CARTA HERRAJE O 1 PULGADA,P0137,ACCO,64.6,"CARPETA BLANCA PANORAMICA ACCO TAMAÑO CARTA 362 1 PULGADA HERRAJE O MODELO P0137 TRES VENTANAS DE VINYL TRANSPARENTE MATE, SOLAPAS INTERIORES",https://henki.com.mx/erp/shared_resources/productos/2668.jpg
FOLDER TAMAÑO CARTA BITONO COLOR MORADO,PH0082,MAPASA,129.25,FOLDER TAMAÑO CARTA BITONO INTERIOR Y EXTERIOR CON 1/2 CEJA PUNTAS REDONDEADAS MEDIDAS 22.5 X 29.5 CMS CAJA CON 25 PIEZAS COLOR MORADO MODELO PH0082 STAR FILE,https://henki.com.mx/erp/shared_resources/productos/2692.jpg
TABLA SUJETAPAPEL DE FIBRACEL TAMAÑO OFICIO,0013,LEFORT,48.58,TABLA SUJETAPAPEL TAMAÑO OFICIO DE FIBRACEL COLOR MADERA CON BROCHE METALICO MEDIDAS 23 X 40 CMS MODELO 1153 LEFORT,https://henki.com.mx/erp/shared_resources/restore/1086a763e1x19w.jpg
MINI EMGRAPADORA MAE NEGRA,MEK-26,MAE,50.5,"MINI ENGRAPADORA MAE MODELO MEK-26 COLOR NEGRA, CON GRAPAS 26/6, CAPACIDAD DE ENGRAPADO HASTA 10 HOJAS",https://henki.com.mx/erp/shared_resources/restore/1653f3k5xkmj9a.png
CINTA MASKING TAPE JANEL MODELO 110 PLUS 36 MM X 50 MTS,1103650100,JANEL,45.73,CINTA MASKING TAPE JANEL MODELO 110 PLUS MEDIDA 36 MM X 50 MTS PARA USO GENERAL,https://henki.com.mx/erp/shared_resources/restore/1680daxkkz2hg9.png
NOTA DE SALIDA PRINTAFORM B 1054,B 1054,PRINTAFORM,34.37,NOTA DE SALIDA PRINTAFORM 25 JGOS ORIGINAL Y COPIA TAMAÑO 1/2 CARTA MODELO B-1054. PIEZA,https://henki.com.mx/erp/shared_resources/restore/1688d3a1aq0pjm.png
FOLDER CON BROCHE 8 CENTIMETROS TAMAÑO OFICIO VERDE CLARO,MYP,MYP,8.35,FOLDER TAMAÑO OFICIO EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE 8 CENTIMETROS MEDIDAS 23 X 35 CMS COLOR VERDE CLARO MYP,https://henki.com.mx/erp/shared_resources/productos/3686ARE.png
ETIQUETA RECTANGULAR ATRAX,EA-ATX-3.8-7.6-Bc,ATRAX,28.79,ETIQUETA RECTANGULAR ATRAX MEDIDA 3.8 X 7.6 CM CON 60 ETIQUETAS ,https://henki.com.mx/erp/shared_resources/productos/3709RE.png
ETIQUETAS BLANCAS PARA LASER JANEL,1095163101,JANEL,279.04,ETIQUETAS BLANCAS JANEL MODELO J-5163 PARA LASER INKJET Y COPIADORAS MEDIDA 5.1 CM X 10.2 CM CON 100 HOJAS 10 ETIQUETAS POR HOJA,https://henki.com.mx/erp/shared_resources/productos/JAN-ETIBLA-197-.jpg
ARILLO METALICO 1/2 NEGRO CON 20 PIEZAS GBC,M500112,GBC,112.61,ARILLO TWIN LOOP DOBLE METALICO 1/2 PULGADA COLOR NEGRO MARCA GBC MODELO M500112 CON 20 PIEZAS,https://henki.com.mx/erp/shared_resources/productos/ACC-ARITWI-263.jpg-.jpg
ARILLO METALICO NEGRO 5/8 TLG CON 45 PZAS.,TLG 5/8,TLG,141.98,ARILLO DOBLE METALICO PASO 2:1 5/8 PULGADA COLOR NEGRO TLG CAJA CON 45 PIEZAS CAPACIDAD 150 HOJAS,https://henki.com.mx/erp/shared_resources/productos/TLG-ARIDOB-264.jpg-.jpg
LIBRO REGISTRO DE VISITANTES 100 HOJAS CARSI,CARSI,CARSI,151.12,LIBRO REGISTRO DE VISITANTES 100 HOJAS DE  21 X 27 CMS CARSI,https://henki.com.mx/erp/shared_resources/productos/CAR-LIBREG-478.jpg-.jpg
CUADERNO FRANCESA ESPIRAL DOBLE CUADRO GRANDE CON 100 HOJAS JEAN BOOK,4100,NORMA,53.81,CUADERNO FORMA FRANCESA ESPIRAL DOBLE JEAN BOOK CUADRO GRANDE 7 MM CON 100 HOJAS DE PAPEL BOND DE 56 GRAMOS MODELO 4100 ,https://henki.com.mx/erp/shared_resources/productos/NOR-CUAFOR-529.jpg
REPUESTO CORTADOR OLFA GRUESO,LB10,OLFA,81.43,REPUESTO CORTADOR OLFA MODELO LB10 DE 18 MM TUBO CON 10 NAVAJITAS ,https://henki.com.mx/erp/shared_resources/restore/10800gkm130d12.png
CINTA DE MONTAJE PARA EXTERIORES 3M SCOTCH 4011P,4011P,3M,132.37,CINTA DE MONTAJE PARA EXTERIORES 3M SCOTCH MODELO 4011P MEDIDA 2.54 CM X 1.52 MTS,https://henki.com.mx/erp/shared_resources/productos/3M-CINDE-980.jpg
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA ROJO,F-FB-3024,FORTEC,9.83,FOLDER TAMAÑO CARTA EN CARTULINA TIPO PRESSBOARD CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 24 X 29 CMS COLOR ROJO MODELO F-FB-3024 FORTEC,https://henki.com.mx/erp/shared_resources/productos/FOR-CARPRE-1075.jpg
ETIQUETAS BLANCAS LESA No 20,LESA,LESA,33.96,ETIQUETAS BLANCAS LESA No 20 MEDIDA 102 MM X 20 MM CON 280 ETIQUETAS ,https://henki.com.mx/erp/shared_resources/productos/LES-ETIBLA-1203-.jpg
SEPARADORES FORTEC MENSUAL ENE-DIC,F-IN-6212,FORTEC,35.32,SEPARADORES FORTEC MENSUAL ENERO-DICIEMBRE MODELO F-IN-6212 CEJA DE COLOR CON NUMERO CON 1 JUEGO,https://henki.com.mx/erp/shared_resources/productos/FOR-SEPFOR-2200.jpg-.jpg
ENGRAPADORA METALICA MEDIA TIRA MAE ,EMM-5,MAE,82.68,ENGRAPADORA METALICA MEDIA TIRA MAE MODELO EMM5 PARA GRAPA ESTANDAR  CAPACIDAD DE ENGRAPADO 20 HOJAS COLOR NEGRA ,https://henki.com.mx/erp/shared_resources/restore/10195pecw3tehx.jpg
FOAMY TAMAÑO CARTA CON 24 COLORES SURTIDOS,FYM-CS24,MAE,47.76,"FOAMY TAMAÑO CARTA MAE, MEDIDA 21.5 X 28 CM, PAQUETE CON 24 PIEZAS EN COLORES SURTIDOS, MODELO FYM-CS24",https://henki.com.mx/erp/shared_resources/restore/1496sd8r021g81.jpg
ETIQUETA BLANCA TAMAÑO CARTA 21 X 28 CM,458,SIN MARCA,49.19,"ETIQUETA ADHESIVA BLANCA TAMAÑO CARTA MEDIDA 21 X 28 CM, PAQUETE CON 10 PIEZAS",https://henki.com.mx/erp/shared_resources/productos/3710RE.png
TINTA PARA SELLO ROJO AZOR,587RO,AZOR,30.72,TINTA PARA SELLOS ROLAPLICA COLOR ROJO DE 60 ML AZOR MODELO 587RO,https://henki.com.mx/erp/shared_resources/restore/1008atuabgqbrw.png
TIJERA PARA COSTURA,PAPTIJC/70,ESCRIMEX,57.43,"TIJERA DE ACERO INOXIDABLE  PARA COSTURA DE 17.7 cm (7"") MODELO PAPTIJC/70 ESCRIMEX",https://henki.com.mx/erp/shared_resources/productos/ESC-TIJDE-376.jpg-.jpg
LIBRO FLORETE RAYA 240 HOJAS ESTRELLA ITALIANA,0134,ESTRELLA,377.96,LIBRO FLORETE ESTRELLA FORMA ITALIANA DE RAYA CON 240 HOJAS PAPEL BOND DE 60 GRAMOS MEDIDAS 34.1 X 24 CMS MODELO 134,https://henki.com.mx/erp/shared_resources/productos/EST-LIBFLO-467.jpg--.jpg
TABLA SUJETAPAPEL DE ACRILICO TAMAÑO CARTA,2316HU,SABLON,94.07,TABLA SUJETAPAPEL TAMAÑO CARTA DE ACRILICO COLOR HUMO CON BROCHE METALICO MEDIDAS 22.5 X 32.5 CMS MODELO 2316HU SABLON,https://henki.com.mx/erp/shared_resources/productos/SAB-TABSUJ-619.jpg
BOLIGRAFO UNIBALL DELUXE NEGRO PUNTO MICRO,1961402,UNIBALL,38.04,BOLIGRAFO UNIBALL DELUXE NEGRO MODELO 1961402 PUNTO MICRO 0.5 MM BLISTER CON 1 PIEZA,https://henki.com.mx/erp/shared_resources/productos/LEO-BOLUNI-836.jpg
BOLIGRAFO UNIBALL VISION NEEDLE NEGRO,1961404,UNIBALL,48.46,BOLIGRAFO UNIBALL VISION NEEDLE NEGRO MODELO 1961404 PUNTO MEDIANO 0.7 MM BLISTER CON 1 PIEZA,https://henki.com.mx/erp/shared_resources/productos/LEO-BOLUNI-838.jpg
CORRECTOR LIQUIDO ACCO EN BROCHA 20 ML,P6396,ACCO,11.48,CORRECTOR LIQUIDO ACCO MODELO P6396 EN BROCHA 20 ML (P6431),https://henki.com.mx/erp/shared_resources/productos/ACC-CORLIQ-1284.jpg-.jpg
ARILLOS DE PLASTICO CERLOX GBC 3/4 COLOR NEGRO,M080490,GBC,144.09,"ARILLOS DE PLASTICO PARA ENGARGOLAR 3/4"" CERLOX GBC MODELO M080490 COLOR NEGRO CAPACIDAD 111-140 HOJAS PAQUETE CON 25 ARILLOS",https://henki.com.mx/erp/shared_resources/productos/ACC-ARIDE-1371.jpg-.jpg
LIBRO FORMATA ITALIANA 96 HOJAS RAYA,FORMATA,FORMATA,40.99,LIBRO FORMATA FORMA ITALIANA RAYADO 96 HOJAS FOLIADO,https://henki.com.mx/erp/shared_resources/productos/FOR-LIBFLO-1937.jpg-.jpg
ETIQUETAS FLUORESCENTES VERDE LESA,No12,LESA,33.96,ETIQUETAS FLUORESCENTES VERDE CIRCULAR LESA No 12 MEDIDA 00 X 25 MM CON 12 HOJAS,https://henki.com.mx/erp/shared_resources/restore/1058poq3m16a9c.jpg
CUBIERTA PLASTICA LAMIFLEX TAMAÑO CARTA VERDE TRASLUCIDO,BOFLEX,BOFLEX,130.85,CUBIERTA PLASTICA PARA ENGARGOLAR LAMIFLEX TAMAÑO CARTA COLOR VERDE TRASLUCIDO CON 50 PIEZAS BOFLEX,https://henki.com.mx/erp/shared_resources/restore/1070rggn84qgxo.png
MICA TERMICA TAMAÑO CARTA SEMI RIGIDA,MX01354,GBC,92.51,MICA TERMICA GBC TAMAÑO CARTA 5 MILESIMAS MODELO MX01354 MEDIDA 229mm X 293mm CON 15 PIEZAS INCLUYE ACARREADOR,https://henki.com.mx/erp/shared_resources/productos/ACC-MICTER-2213.jpg-.jpg
FOLDER CON BROCHE 8 CMS TAMAÑO OFICIO CON REFUERZO VERDE CLARO CLARO ,P1197,ACCO,21.92,FOLDER TAMAÑO OFICIO EN CARTULINA PRESSBOARD DE 326 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS Y REFUERZO CON BROCHE DE 8 CMS MEDIDAS 25 X 37 CMS MODELO P1197 COLOR VERDE CLARO ACCOPRESS CRH,https://henki.com.mx/erp/shared_resources/productos/ACC-FOLACC-2392.jpg
ORGANIFOLDER DE ACRILICO HUMO,3236HU,SABLON,341.71,ORGANIFOLDER DE ACRILICO TAMAÑO CARTA OFICIO Y A4 CON TRES COMPARTIMENTOS PARA PARED O ESCRITORIO MEDIDAS 36 X 12.5 X 30 CMS COLOR HUMO MODELO 3236HU SABLON,https://henki.com.mx/erp/shared_resources/productos/2590A.jpg
GUIAS PARA ARCHIVO OFICIO ALFABETICAS ACCO,P5398,ACCO,221.7,GUIAS PARA ARCHIVO ALFABETICAS ACCO TAMAÑO OFICIO MODELO X25 P5398 COLOR VERDE CLARO CON PESTAÑAS ESCALONADAS,https://henki.com.mx/erp/shared_resources/productos/12593A.jpg
PAPEL CONTAC PVC AUTOADHERIBLE ROLLO 45X10 MTS ESCRIMEX,PAPROL002,ESCRIMEX,77.77,ROLLO PAPEL CONTAC PVC AUTOADHERIBLE TRANSPARENTE DE 45 CMS X 10 MTS MODELO PAPROL002 ESCRIMEX,https://henki.com.mx/erp/shared_resources/productos/2619.jpg
BANDERITAS SEÑALIZADORAS NEON POP-UP,26002,MAE,65.4,BANDERITAS ADHESIVAS SEÑALIZADORAS DE INDICE MEDIDA 45 MM X 12 MM DE 200 HOJAS COLORES NEON CON DESPACHADOR MODELO 26002 MAE ,https://henki.com.mx/erp/shared_resources/restore/11502c0ja3h2nt.jpg
MARCADOR PERMANENTE DOBLE PUNTA NEGRO ARTLINE,EK-041TN,ARTLINE,23.29,"MARCADOR PERMANENTE DOBLE PUNTA COLOR NEGRO, ARTLINE, PUNTA MEDIANA Y FINA, MODELO EK-041TN",https://henki.com.mx/erp/shared_resources/restore/1448z0pm8833bv.png
CUADERNO FORMA FRANCESA C-7 MEGA SCRIBE,4543,SCRIBE,28.44,CUADERNO CON ESPIRAL FORMA FRANCESA MEGA PLUS RAYA CON 100 HOJAS DE PAPEL BOND DE 50 GRAMOS MODELO 4543 MEDIDAS DE 14.8 X 20.5 CMS SCRIBE,https://henki.com.mx/erp/shared_resources/images/noimage.png
PINTURA POLITEC 20ML BLANCO DE TITANIO, ,POLITEC,6.71,"PINTURA POLITEC, EN FRASCO DE 20ML, COLOR BLANCO DE TITANIO",https://henki.com.mx/erp/shared_resources/restore/1019vdxrhecl9c.png
PINTURA POLITEC 20ML ROJO,Sin Modelo,POLITEC,6.71,"PINTURA POLITEC, EN FRASCO DE 20ML, COLOR ROJO",https://henki.com.mx/erp/shared_resources/restore/1020hihnkdaekn.png
PINTURA POLITEC 20ML AZUL PASTEL,Sin Modelo,POLITEC,6.71,"PINTURA POLITEC, EN FRASCO DE 20ML, COLOR AZUL PASTEL",https://henki.com.mx/erp/shared_resources/restore/1022cwdixi3fbm.png
PINTURA POLITEC 20ML SOMBRA CAFE,Sin Modelo,POLITEC,6.71,"PINTURA POLITEC, EN FRASCO DE 20ML, COLOR SOMBRA CAFE",https://henki.com.mx/erp/shared_resources/restore/1023y0twwl9k0b.png
BOLIGRAFO PUNTO MEDIANO NEGRO,DIAMANTE ,BIC,5.47,BOLIGRAFO PUNTO MEDIANO DIAMANTE NEGRO BIC,https://henki.com.mx/erp/shared_resources/restore/1018tze13s04lj.png
MARCADOR PARA PIZARRON VERDE,8056VE,AZOR,141.32,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO VERDE PUNTA DE CINCEL CON 6 MODELO 8056VE AZOR,https://henki.com.mx/erp/shared_resources/productos/1AZO-MARPAR-94.jpg
GUIAS PARA ARCHIVO OFICIO ALFABETICAS PENDAFLEX,9524,PENDAFLEX,144.24,GUIAS PARA ARCHIVO ALFABETICAS PENDALFLEX TAMAÑO OFICIO MODELO 9524 COLOR CREMA CON UN JUEGO DE GUIAS,https://henki.com.mx/erp/shared_resources/productos/PEN-GUIPAR-507.jpg-.jpg
SUJETADOCUMENTOS 32 MM BARRILITO,PZ32,BARRILITO,37.72,"SUJETADOCUMENTOS 32 MM BARRILITO 1 1/4"" MODELO PZ32 CON 12 PIEZAS",https://henki.com.mx/erp/shared_resources/productos/BAR-SUJ32-592.jpg
TABLA SUJETAPAPEL DE MACOCEL TAMAÑO OFICIO,TABAGA-MAC-OFI,KYMA,31.06,TABLA SUJETAPAPEL TAMAÑO OFICIO DE MACOCEL COLOR MADERA CON CLIP METALICO MEDIDAS 22.5 X 36 CMS MODELO TABAGA-MAC-OFI KYMA,https://henki.com.mx/erp/shared_resources/productos/KYM-TABSUJ-615.jpg
SACAPUNTAS DE ESCRITORIO MANUAL MAE,SPE-20,MAE,175.98,"SACAPUNTAS DE ESCRITORIO MANUAL MARCA MAE MODELO SPE-20 CUERPO DE PLASTICO COLOR NEGRO CON AFILADOR METALICO Y SOPORTE PARA FIJARLO AL ESCRITORIO
",https://henki.com.mx/erp/shared_resources/restore/10717jfh7ezilx.png
PERFORADORA TRIPLE METALICA AJUSTABLE EAGLE,997,EAGLE,514.04,PERFORADORA TRIPLE METALICA EAGLE MODELO 997 COLOR NEGRA AJUSTABLES PERFORA HASTA 30 HOJAS DIAMETRO DE PERFORACION 7 CMS ,https://henki.com.mx/erp/shared_resources/productos/IMG_20190320_110246.jpg
FOLIADOR AUTOMATICO 8 DIGITOS ESCRIMEX,PAPMAQ008,ESCRIMEX,308.2,FOLIADOR METALICO Y AUTOMATICO 8 DIGITOS ESCRIMEX MODELO PAPMAQ008 INCLUYE 2 COJINES 1 TINTA Y 1 PLUMILLA Y PUEDE IMPRIMIR CONSECUTIVAMENTE HASTA 12 VECES EL MISMO NUMERO ,https://henki.com.mx/erp/shared_resources/restore/1073j787k4jd32.png
BOLIGRAFO DE GEL CYBERGEL AZUL 0.7MM,CYBERGEL,MANNY,5.86,BOLIGRAFO DE GEL CYBERGEL COLOR AZUL PUNTO MEDIANO 0.7MM,https://henki.com.mx/erp/shared_resources/productos/BUF-BOLDE-805.jpg
CINTA ADHESIVA DOBLE CARA LEADER MODELO 4101 24 MM X 33 MTS,4101,LEADER,46.48,CINTA ADHESIVA DOBLE CARA LEADER MODELO 4101 MEDIDA 24 MM X 33 MTS PAPEL TISSUE,https://henki.com.mx/erp/shared_resources/productos/1LEA-CINADH-949.jpg
LAPICERA DOS COMPARTIMENTOS CON CIERRE BARRILITO,8237LAP,BARRILITO,147.8,LAPICERA DOS COMPARTIMENTOS CON CIERRE BARRILITO MODELO 8237LAP POLIESTER 100 %,https://henki.com.mx/erp/shared_resources/productos/BAR-LAPDOS-1173.jpg-.jpg
FOLDER CON BROCHE 8 CMS TAMAÑO CARTA AMARILLO,CAPRKB-TC-AMA,KYMA,8.98,FOLDER TAMAÑO CARTA EN CARTULINA PRESSBOARD DE 330 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE DE 8 CENTIMETROS MEDIDAS 24.5 X 29.5 CMS COLOR AMARILLO MODELO CAPRKB-TC-AMA KYMA,https://henki.com.mx/erp/shared_resources/productos/KYM-CARPRE-1250.jpg
CAJA PARA ARCHIVO GEO PARA REGISTRADOR OFICIO,36,GEO,52.27,CAJA PARA ARCHIVO GEO PARA REGISTRADOR OFICIO MODELO 36 MEDIDA 50 LARGO X 35 ANCHO X 29 ALTO R-11/12.5 CORRUGADO SENCILLO,https://henki.com.mx/erp/shared_resources/restore/1027ciyosa4hxy.png
TABLA SUJETAPAPEL DE FIBRACEL TAMAÑO CARTA,TB002,BACO,96.09,TABLA SUJETAPAPEL TAMAÑO CARTA DE FIBRACEL COLOR MADERA CON BROCHE METALICO MEDIDAS 23 X 32 CMS MODELO TB002 BACO,https://henki.com.mx/erp/shared_resources/productos/TABLA BACO.jpeg
ARCHIVO EXPANDIBLE CON BROCHE CON 12 DIVISIONES OXFORD,F148,OXFORD,156.81,ARCHIVO EXPANDIBLE CON BROCHE CON 12 DIVISIONES OXFORD TAMAÑO CARTA MODELO F148 COLOR CRISTAL O AZUL,https://henki.com.mx/erp/shared_resources/productos/F148.jpg
MARCADOR PARA PIZARRON MAGISTRAL GRIP ROJO,83902,AZOR,17.98,MARCADOR PARA PIZARRON MAGISTRAL GRIP ROJO PUNTA DE CINCEL MODELO 83902 AZOR,https://henki.com.mx/erp/shared_resources/productos/2580A.jpg
MARCADOR PERMANENTE FINO AZUL SHARPIE,1812764,BEROL,13.96,MARCADOR PERMANENTE AZUL SHARPIE PUNTO FINO BEROL,https://henki.com.mx/erp/shared_resources/productos/2663.jpg
ETIQUETA ADHESIVA AVERY CIRCULAR REMOBIBLE VERDE NEON,5468,AVERY,58.73,ETIQUETA ADHESIVA AVERY CIRCULAR 5468 REMOBIBLE VERDE NEON MODELO 2109 MEDIDA 19 MM CON 1008 ETIQUETAS,https://henki.com.mx/erp/shared_resources/restore/10284c54pbzpso.png
CARPETA AZUL PANORAMICA ACCO TAMAÑO CARTA 3 PULGADA HERRAJE D,P4845,ACCO,141.09,CARPETA AZUL PANORAMICA ACCO 385 TAMAÑO CARTA 3 PULGADAS HERRAJE D MODELO P4845 TRES VENTANAS DE VINYL TRANSPARENTE BRILLANTE SOLAPAS INTERIORES,https://henki.com.mx/erp/shared_resources/productos/2682.jpg
PERFORADORA PARA GAFETE GBC,MX60077,GBC,438.49,PERFORADORA PARA GAFETE GBC MODELO MX60077 HECHO DE METAL INCLUYE DEPOSITO DE DESPERDICIO,https://henki.com.mx/erp/shared_resources/restore/1170gtll8gouer.png
PINCEL TIPO BROCHA MAE DE 1 PULGADA,PBM-25,MAE,21.03,"PINCEL TIPO BROCHA MAE, CON MANGO DE MADERA Y CERDAS DE PELO DE CERDO BLANQUEADAS, MEDIDA 1 PULGADA (25mm) PARA TODO TIPO DE TRABAJO MODELO PBM-25",https://henki.com.mx/erp/shared_resources/restore/13906nr8x76i7o.png
CINTA DE MARCAJE COLOR NEGRO,L-821,LEADER,70.64,"CINTA PARA MARCAJE DE AREAS DE 2"" X 33MM COLOR NEGRO",https://henki.com.mx/erp/shared_resources/productos/3257Re.png
ETIQUETAS FLUORESCENTES NARANJA LESA,No 12,LESA,33.96,ETIQUETAS FLUORESCENTES NARANJA CIRCULAR LESA No 12 MEDIDA 00 X 25 MM CON 12 HOJAS ,https://henki.com.mx/erp/shared_resources/productos/LES-ETIFLU-215-.jpg
