Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
BOLIGRAFO PINT POINT PUNTO FINO ROJO,6820RO,AZOR,3.48,BOLIGRAFO PUNTO FINO 0.7 MM AZOR PUNTO DE AGUJA ROJO PINT POINT BARRIL AMARILLO MODELO 6820RO,https://henki.com.mx/erp/shared_resources/productos/2561.jpg
BLOCK COMPROBANTE DE GASTOS ESTRELLA ,0137,ESTRELLA,12.22,BLOCK COMPROBANTE DE GASTOS ESTRELLA BLOCK CON 50 HOJAS MEDIDA 13.8 X 10.5 CM,https://henki.com.mx/erp/shared_resources/productos/EST-BLOCOM-1206.jpg-.jpg
PUNTILLAS HB 0.7 MM SHELY ,YH-0225,SHELY,4.59,PUNTILLAS HB 0.7 MM SHELY MODELO YH-0225,https://henki.com.mx/erp/shared_resources/productos/SHE-PUNHB-868.jpg-.jpg
SOBRE BOLSA SOLAPA ENGOMADA MANILA OFICIO,B-24-MG,FORTEC,3.98,SOBRE BOLSA SOLAPA ENGOMADA PAPEL MANILA DE 90 GRAMOS TAMAÑO OFICIO MEDIDAS 24 X 34 CMS MODELO B24MG FORTEC,https://henki.com.mx/erp/shared_resources/productos/FOR-SOBBOL-1105.jpg-.jpg
MARCADOR PERMANENTE ROJO A-INK ,APD-R,A-INK,9.69,"MARCADOR PERMANENTE ROJO, PUNTO FINO, PUNTA DE BALA, BARRIL DE PLASTICO, MODELO APD-R ",https://henki.com.mx/erp/shared_resources/restore/1433sclxv6qukv.png
PUNTILLAS HB 0.7 MM WEAREVER ,M26010017007,BEROL,7.8,PUNTILLAS HB 0.7 MM WEAREVER ,https://henki.com.mx/erp/shared_resources/productos/BER-PUNHB-871.jpg-.jpg
FOLDER CON BROCHE 8 CENTIMETROS TAMAÑO OFICIO AZUL OSCURO,MYP,MYP,8.35,FOLDER TAMAÑO OFICIO EN CARTULINA TIPO PRESSBOARD DE 350 GRAMOS CON MEDIA CEJA Y PUNTAS REDONDEADAS CON BROCHE 8 CENTIMETROS MEDIDAS 23 X 35 CMS COLOR AZUL OSCURO MYP,https://henki.com.mx/erp/shared_resources/productos/12480.jpg
BOLIGRAFO PUNTO FINO NEGRO,962812,PELIKAN,3.34,BOLIGRAFO PUNTO FINO NEGRO POINTEC PELIKAN ,https://henki.com.mx/erp/shared_resources/restore/10256nol1r1ytu.png
CINTA DE EMPAQUE CANELA LEADER 48 MM X 150 MTS,AB-1,LEADER,43.46,CINTA DE EMPAQUE CANELA LEADER AB-1 MEDIDA 48 MM X 150 MTS,https://henki.com.mx/erp/shared_resources/productos/LEA-CINDE-963.jpg
GOMA FACTIS 36R ,36R,FACTIS,4.55,"GOMA FACTIS 36-R LIBRE DE PVC, NO TOXICO",https://henki.com.mx/erp/shared_resources/productos/FAC-GOMFAC-1179-.jpg
ENGRAPADORA DE PLASTICO TIRA COMPLETA EPM-20T,EPM-20T,MAE,80.19,ENGRAPADORA DE PLASTICO TIRA COMPLETA EPM-20T,https://henki.com.mx/erp/shared_resources/productos/3678RE.png
CAJA PARA ARCHIVO MUERTO FORTEC TAMAÑO CARTA,CAM-CARTA,FORTEC,33.62,CAJA PARA ARCHIVO MUERTO DE CARTON FORTEC MODELO CAM-CARTA TAMAÑO CARTA TAPA INTEGRADA MED.49.5X32X25.5 CM,https://henki.com.mx/erp/shared_resources/restore/10507artue3d0n.png
MARCADOR CERA VERDE BARRILITO,12MCV,BARRILITO,9.24,MARCADOR DE CERA BARRILITO VERDE  MODELO 12MCV ,https://henki.com.mx/erp/shared_resources/productos/BAR-MARDE-297.jpg-.jpg
TABLA SUJETAPAPEL DE MACOCEL TAMAÑO CARTA,TAMKAC-CT,KIP,23.66,TABLA SUJETAPAPEL TAMAÑO CARTA DE MACOCEL COLOR MADERA CON CLIP METALICO MEDIDAS 22.5 X 33.5 CMS MODELO TAMKAC-CT KIP,https://henki.com.mx/erp/shared_resources/productos/216RE.png
MARCADOR CERA ROJO DIXON ,PHANO,DIXON,11.18,"MARCADOR DE CERA ROJO DIXON PHANO PARA TODO USO NO TOXICO UTIL PARA VIDRIO, CELOFAN, MADERA, ACRILICO Y TODO TIPO DE SUPERFICIES LISAS",https://henki.com.mx/erp/shared_resources/productos/DIX-MARDE-317.jpg-.jpg
SEPARADORES DE PLASTICO TAMAÑO CARTA,RICMEN,RICMEN,8.21,SEPARADORES DE PLASTICO TAMAÑO CARTA CON 5 SEPARADORES DE COLORES 3 PERFORACIONES ,https://henki.com.mx/erp/shared_resources/productos/RIC-SEPDE-1199.jpg-.jpg
NOTAS ADHESIVAS 3X3 PASTEL,6560303796,JANEL,10.54,"BLOCK DE NOTAS ADHESIVAS MEDIDA 76 MM X 76 MM (3"" X 3"") COLORES PASTEL DE 100 HOJAS POR PIEZA MEMO TIP",https://henki.com.mx/erp/shared_resources/productos/JAN-NOTADH-397.jpg
BOLIGRAFO PINT POINT PUNTO MEDIANO NEGRO,6830NE,AZOR,3.02,BOLIGRAFO PUNTO MEDIANO 1.0MM AZOR PUNTO DE AGUJA NEGRO PINT POINT  ,https://henki.com.mx/erp/shared_resources/restore/1004o8x5i5qv5c.png
LIBRETA FRANCESA CUADRO CHICO PASTA DURA 96 HOJAS ESTRELLA,0084,ESTRELLA,37.7,LIBRETA PASTA DURA FORMA FRANCESA CUADRO CHICO 5 MM CON 96 HOJAS DE PAPEL BOND DE 56 GRAMOS MODELO 84 MEDIDAS DE 16 X 21.5 CMS ESTRELLA ,https://henki.com.mx/erp/shared_resources/productos/EST-LIBPAS-671.jpg
BOLIGRAFO KILOMETRICO PUNTO FINO NEGRO,1903810,BEROL,3.23,BOLIGRAFO PUNTO FINO 0.7MM NEGRO KILOMETRICO INKJOY PAPER MATE,https://henki.com.mx/erp/shared_resources/restore/1021puyqslarq1.png
