,Actividad
196,Comercio al por mayor de productos farmacéuticos
197,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial
198,Comercio al por mayor de revistas y periódicos
199,"Comercio al por mayor de ropa, bisutería y accesorios de vestir"
200,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos"
201,Comercio al por mayor de vidrios y espejos
202,Comercio al por mayor de vinos y licores
203,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor"
204,"Comercio al por menor de alfombras, cortinas, tapices y similares"
205,Comercio al por menor de antigüedades y obras de arte
206,Comercio al por menor de artículos de joyería y relojes
207,Comercio al por menor de artículos de mercería y bonetería
208,Comercio al por menor de artículos de papelería
209,Comercio al por menor de artículos de perfumería y cosméticos
210,Comercio al por menor de artículos desechables
211,Comercio al por menor de artículos ortopédicos
212,Comercio al por menor de artículos para albercas y otros artículos
213,Comercio al por menor de artículos para la limpieza
214,Comercio al por menor de artículos religiosos
215,Comercio al por menor de artículos usados
216,Comercio al por menor de artículos y aparatos deportivos
217,Comercio al por menor de automóviles y camionetas nuevos
218,Comercio al por menor de automóviles y camionetas usados
219,Comercio al por menor de bebidas no alcohólicas y hielo
220,Comercio al por menor de bicicletas y triciclos
221,Comercio al por menor de bisutería y accesorios de vestir
222,Comercio al por menor de blancos
223,Comercio al por menor de calzado
224,Comercio al por menor de carne de aves
225,Comercio al por menor de carnes rojas
226,Comercio al por menor de cerveza
227,"Comercio al por menor de cigarros, puros y tabaco"
228,"Comercio al por menor de cristalería, loza y utensilios de cocina"
229,Comercio al por menor de discos y casetes
230,"Comercio al por menor de disfraces, vestimenta regional y vestidos de novia"
231,Comercio al por menor de dulces y materias primas para repostería
232,Comercio al por menor de electrodomésticos menores y aparatos de línea blanca
233,Comercio al por menor de equipo y material fotográfico
234,Comercio al por menor de frutas y verduras frescas
235,Comercio al por menor de gas L.P. en cilindros y para tanques estacionarios
236,Comercio al por menor de gas L.P. en estaciones de carburación
237,Comercio al por menor de gasolina y diésel
238,Comercio al por menor de instrumentos musicales
239,Comercio al por menor de juguetes
240,"Comercio al por menor de leche, otros productos lácteos y embutidos"
241,Comercio al por menor de lencería
242,Comercio al por menor de lentes
243,Comercio al por menor de libros
244,"Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones"
245,Comercio al por menor de lámparas ornamentales y candiles
246,Comercio al por menor de mascotas
247,Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas
248,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo"
249,Comercio al por menor de motocicletas
250,Comercio al por menor de muebles para el hogar
251,Comercio al por menor de muebles para jardín
252,Comercio al por menor de otros alimentos
253,Comercio al por menor de otros artículos de uso personal
254,Comercio al por menor de otros artículos para la decoración de interiores
255,Comercio al por menor de otros combustibles
256,Comercio al por menor de otros vehículos de motor
257,Comercio al por menor de paletas de hielo y helados
258,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones"
259,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones"
260,Comercio al por menor de pañales desechables
261,Comercio al por menor de pescados y mariscos
262,Comercio al por menor de pintura
263,Comercio al por menor de pisos y recubrimientos cerámicos
264,Comercio al por menor de plantas y flores naturales
265,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios"
266,Comercio al por menor de regalos
267,Comercio al por menor de revistas y periódicos
268,Comercio al por menor de ropa de bebé
269,Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales
270,"Comercio al por menor de ropa, excepto de bebé y lencería"
271,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos"
272,Comercio al por menor de sombreros
273,Comercio al por menor de telas
274,Comercio al por menor de teléfonos y otros aparatos de comunicación
275,Comercio al por menor de vidrios y espejos
276,Comercio al por menor de vinos y licores
277,Comercio al por menor en estaciones de gas natural vehicular
278,Comercio al por menor en ferreterías y tlapalerías
279,Comercio al por menor en minisupers
280,Comercio al por menor en supermercados
281,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas"
282,Comercio al por menor en tiendas de artesanías
283,Comercio al por menor en tiendas departamentales
284,"Comercio al por menor exclusivamente a través de internet, y catálogos impresos, televisión y similares"
285,Compañías afianzadoras
286,Compañías de autofinanciamiento
287,Compañías de danza del sector privado
288,Compañías de danza del sector público
289,Compañías de seguros
290,Compañías de teatro del sector privado
291,Compañías de teatro del sector público
292,Complejos siderúrgicos
293,"Confección de cortinas, blancos y similares"
294,Confección de costales
295,Confección de otros accesorios y prendas de vestir no clasificados en otra parte
296,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos"
297,Confección de prendas de vestir sobre medida
298,Confección de productos de textiles recubiertos y de materiales sucedáneos
299,Confección de sombreros y gorras
300,Confección en serie de camisas
301,Confección en serie de disfraces y trajes típicos
302,Confección en serie de otra ropa exterior de materiales textiles
303,Confección en serie de ropa interior y de dormir
304,Confección en serie de uniformes
305,"Confección, bordado y deshilado de productos textiles"
306,Congelación de frutas y verduras
307,Congelación de guisos y otros alimentos preparados
308,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación
309,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación
310,"Construcción de carreteras, puentes y similares"
311,Construcción de obras de generación y conducción de energía eléctrica
312,Construcción de obras de urbanización
313,"Construcción de obras marítimas, fluviales y subacuáticas"
314,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
315,Construcción de obras para telecomunicaciones
316,Construcción de obras para transporte eléctrico y ferroviario
317,Construcción de plantas de refinería y petroquímica
318,Construcción de presas y represas
319,Construcción de sistemas de distribución de petróleo y gas
320,Construcción de sistemas de riego agrícola
321,Consultorios de medicina especializada del sector privado
322,Consultorios de medicina especializada del sector público
323,Consultorios de medicina general del sector privado
324,Consultorios de medicina general del sector público
325,Consultorios de nutriólogos y dietistas del sector privado
326,Consultorios de nutriólogos y dietistas del sector público
327,Consultorios de optometría
328,Consultorios de psicología del sector privado
329,Consultorios de psicología del sector público
330,Consultorios de quiropráctica del sector privado
331,Consultorios de quiropráctica del sector público
332,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje"
333,"Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje"
334,Consultorios dentales del sector privado
335,Consultorios dentales del sector público
336,Corporativos
337,"Corte y empacado de carne de ganado, aves y otros animales comestibles"
338,Cultivo anual de otras semillas oleaginosas
339,Cultivo de agaves alcoholeros
340,Cultivo de aguacate
341,Cultivo de alfalfa
342,Cultivo de algodón
343,Cultivo de arroz
344,Cultivo de avena forrajera
345,Cultivo de avena grano
346,"Cultivo de bayas (berries) en invernaderos y otras estructuras agrícolas protegidas, excepto fresas"
347,Cultivo de cacahuate
348,Cultivo de cacao
349,Cultivo de café
350,Cultivo de calabaza
351,Cultivo de caña de azúcar
352,Cultivo de cebada grano
353,Cultivo de cebolla
354,Cultivo de chile
355,Cultivo de chile en invernaderos y otras estructuras agrícolas protegidas
356,Cultivo de coco
357,Cultivo de cártamo
358,Cultivo de fresa en invernaderos y otras estructuras agrícolas protegidas
359,Cultivo de frijol grano
360,Cultivo de garbanzo grano
361,Cultivo de girasol
362,Cultivo de jitomate en invernaderos y otras estructuras agrícolas protegidas
363,Cultivo de jitomate o tomate rojo
364,Cultivo de limón
365,Cultivo de mango
366,Cultivo de manzana
367,Cultivo de manzana en invernaderos y otras estructuras agrícolas protegidas
368,Cultivo de maíz forrajero
369,Cultivo de maíz grano
370,Cultivo de melón
371,Cultivo de naranja
372,Cultivo de otras hortalizas
373,Cultivo de otras leguminosas
374,Cultivo de otros cereales
375,Cultivo de otros cítricos
376,Cultivo de otros frutales no cítricos y de nueces
377,Cultivo de otros productos alimenticios en invernaderos y otras estructuras agrícolas protegidas
378,Cultivo de papa
379,Cultivo de pastos
380,Cultivo de pepino en invernaderos y otras estructuras agrícolas protegidas
381,Cultivo de plátano
382,Cultivo de sandía
383,Cultivo de sorgo forrajero
384,Cultivo de sorgo grano
385,Cultivo de soya
386,Cultivo de tabaco
387,Cultivo de tomate verde
388,Cultivo de trigo
389,Cultivo de uva
390,Cultivo de árboles de ciclo productivo de 10 años o menos
391,Cunicultura y explotación de animales con pelaje fino
392,Curtido y acabado de cuero y piel
393,Departamentos y casas amueblados con servicios de hotelería
394,Deportistas profesionales
395,Deshidratación de frutas y verduras
396,Despachos de investigación de solvencia financiera
397,Despepite de algodón
398,Diseño de modas y otros diseños especializados
399,Diseño gráfico
400,Diseño industrial
401,Diseño y decoración de interiores
402,Distribución de energía eléctrica
403,Distribución de material publicitario
404,Distribución de películas y de otros materiales audiovisuales
405,División de terrenos
406,Edición de directorios y de listas de correo
407,Edición de directorios y de listas de correo integrada con la impresión
408,Edición de libros
409,Edición de libros integrada con la impresión
410,Edición de otros materiales
411,Edición de otros materiales integrada con la impresión
412,Edición de periódicos
413,Edición de periódicos integrada con la impresión
414,Edición de revistas y otras publicaciones periódicas
415,Edición de revistas y otras publicaciones periódicas integrada con la impresión
416,Edición de software y edición de software integrada con la reproducción
417,Edición y difusión de contenido exclusivamente a través de internet y servicios de búsqueda en la red
418,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión"
419,"Edificación de naves y plantas industriales, excepto la supervisión"
420,Edificación de vivienda multifamiliar
421,Edificación de vivienda unifamiliar
422,Editoras de música
423,Elaboración de aceites y grasas vegetales comestibles
424,Elaboración de alimentos frescos para consumo inmediato
425,Elaboración de alimentos para animales
426,Elaboración de azúcar de caña
427,Elaboración de bebidas alcohólicas a base de uva
428,Elaboración de bebidas destiladas de agave
429,Elaboración de botanas
430,Elaboración de café instantáneo
431,Elaboración de café tostado y molido
432,Elaboración de cereales para el desayuno
433,Elaboración de cerveza
434,Elaboración de chocolate y productos de chocolate
435,Elaboración de cigarros
436,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas"
437,Elaboración de condimentos y aderezos
438,Elaboración de derivados y fermentos lácteos
439,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate"
440,Elaboración de féculas y otros almidones y sus derivados
441,Elaboración de galletas y pastas para sopa
442,Elaboración de gelatinas y otros postres en polvo
443,Elaboración de harina de maíz
444,Elaboración de harina de otros productos agrícolas
445,Elaboración de harina de trigo
446,Elaboración de helados y paletas
447,Elaboración de hielo
448,"Elaboración de leche en polvo, condensada y evaporada"
449,Elaboración de leche líquida
450,Elaboración de levadura
451,Elaboración de malta
452,Elaboración de manteca y otras grasas animales comestibles
453,Elaboración de otras bebidas destiladas
454,Elaboración de otros alimentos
455,Elaboración de otros azúcares
456,Elaboración de pulque
457,Elaboración de puros y otros productos de tabaco
458,Elaboración de refrescos y otras bebidas no alcohólicas
459,Elaboración de ron y otras bebidas destiladas de caña
460,Elaboración de sidra y otras bebidas fermentadas
461,Elaboración de tortillas de harina de trigo de forma tradicional
462,Elaboración de tortillas de maíz y molienda de nixtamal
463,Equipos deportivos profesionales
464,Escuelas comerciales y secretariales del sector privado
465,Escuelas comerciales y secretariales del sector público
466,Escuelas de arte del sector privado
467,Escuelas de arte del sector público
468,Escuelas de computación del sector privado
469,Escuelas de computación del sector público
470,Escuelas de deporte del sector privado
471,Escuelas de deporte del sector público
472,Escuelas de educación media superior del sector privado
473,Escuelas de educación media superior del sector público
474,Escuelas de educación media técnica terminal del sector privado
475,Escuelas de educación media técnica terminal del sector público
476,Escuelas de educación preescolar del sector privado
477,Escuelas de educación preescolar del sector público
478,Escuelas de educación primaria del sector privado
479,Escuelas de educación primaria del sector público
480,Escuelas de educación secundaria general del sector privado
481,Escuelas de educación secundaria general del sector público
482,Escuelas de educación secundaria técnica del sector privado
483,Escuelas de educación secundaria técnica del sector público
484,Escuelas de educación superior del sector privado
485,Escuelas de educación superior del sector público
486,Escuelas de educación técnica superior del sector privado
487,Escuelas de educación técnica superior del sector público
488,Escuelas de idiomas del sector privado
489,Escuelas de idiomas del sector público
490,Escuelas del sector privado de educación para necesidades especiales
491,Escuelas del sector privado dedicadas a la enseñanza de oficios
492,Escuelas del sector privado que combinan diversos niveles de educación
493,Escuelas del sector público de educación para necesidades especiales
494,Escuelas del sector público dedicadas a la enseñanza de oficios
495,Escuelas del sector público que combinan diversos niveles de educación
496,Escuelas para la capacitación de ejecutivos del sector privado
497,Escuelas para la capacitación de ejecutivos del sector público
498,Estacionamientos y pensiones para vehículos automotores
499,Exhibición de películas y otros materiales audiovisuales
500,Explotación de animales combinada con aprovechamiento forestal
501,Explotación de bovinos para la producción conjunta de leche y carne
502,Explotación de bovinos para la producción de carne
503,Explotación de bovinos para la producción de leche
504,Explotación de bovinos para otros propósitos
505,Explotación de caprinos
506,Explotación de gallinas para la producción de huevo fértil
507,Explotación de gallinas para la producción de huevo para plato
508,Explotación de guajolotes o pavos
509,Explotación de otras aves para producción de carne y huevo
510,Explotación de otros animales
511,Explotación de ovinos
512,Explotación de pollos para la producción de carne
513,Explotación de porcinos en granja
514,Explotación de porcinos en traspatio
515,Explotación de équidos
516,Extracción de gas natural no asociado
517,Extracción de petróleo y gas natural asociado
518,Fabricación de aceites y grasas lubricantes
519,Fabricación de acumuladores y pilas
520,Fabricación de adhesivos
521,"Fabricación de alambre, productos de alambre y resortes"
522,Fabricación de alfombras y tapetes
523,Fabricación de anuncios y señalamientos
524,Fabricación de aparatos de línea blanca
525,Fabricación de aparatos e instrumentos para pesar
526,Fabricación de aparatos fotográficos
527,"Fabricación de artículos de alfarería, porcelana y loza"
528,Fabricación de artículos de vidrio de uso doméstico
529,Fabricación de artículos de vidrio de uso industrial y comercial
530,Fabricación de artículos deportivos
531,Fabricación de artículos oftálmicos
532,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina"
533,Fabricación de artículos y utensilios de madera para el hogar
534,Fabricación de asientos y accesorios interiores para vehículos automotores
535,Fabricación de ataúdes
536,Fabricación de automóviles y camionetas
537,Fabricación de autopartes de plástico con y sin reforzamiento
538,Fabricación de azulejos y losetas no refractarias
539,Fabricación de baleros y rodamientos
540,Fabricación de bandas y mangueras de hule y de plástico
541,Fabricación de banderas y otros productos textiles no clasificados en otra parte
542,Fabricación de bicicletas y triciclos
543,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
544,Fabricación de bolsas y películas de plástico flexible
545,"Fabricación de bolsos de mano, maletas y similares"
546,Fabricación de bombas y sistemas de bombeo
547,Fabricación de botellas de plástico
548,Fabricación de cables de conducción eléctrica
549,Fabricación de cal
550,Fabricación de calcetines y medias de tejido de punto
551,Fabricación de calderas industriales
552,Fabricación de calzado con corte de piel y cuero
553,Fabricación de calzado con corte de tela
554,Fabricación de calzado de hule
555,Fabricación de calzado de plástico
556,Fabricación de camiones y tractocamiones
557,Fabricación de carrocerías y remolques
558,Fabricación de cartón en plantas integradas
559,Fabricación de cartón y cartoncillo a partir de pulpa
560,Fabricación de cemento y productos a base de cemento en plantas integradas
561,Fabricación de cerillos
562,"Fabricación de cierres, botones y agujas"
563,Fabricación de cocinas integrales y muebles modulares de baño
564,Fabricación de colchones
565,Fabricación de componentes electrónicos
566,Fabricación de computadoras y equipo periférico
567,Fabricación de concreto
568,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral
569,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"
570,Fabricación de desbastes primarios y ferroaleaciones
571,Fabricación de embarcaciones
572,"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas"
573,Fabricación de enseres electrodomésticos menores
574,Fabricación de envases de cartón
575,Fabricación de envases metálicos de calibre ligero
576,Fabricación de envases y ampolletas de vidrio
577,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
578,Fabricación de equipo aeroespacial
579,Fabricación de equipo de aire acondicionado y calefacción
580,Fabricación de equipo de audio y de video
581,Fabricación de equipo de refrigeración industrial y comercial
582,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"
583,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
584,Fabricación de equipo ferroviario
585,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio"
586,Fabricación de equipo para soldar y soldaduras
587,Fabricación de equipo telefónico
588,Fabricación de equipo y aparatos de distribución de energía eléctrica
589,"Fabricación de escobas, cepillos y similares"
590,Fabricación de espejos
591,Fabricación de espumas y productos de poliestireno
592,Fabricación de espumas y productos de uretano
593,Fabricación de estructuras metálicas
594,Fabricación de explosivos
595,Fabricación de fertilizantes
596,Fabricación de fibra de vidrio
597,Fabricación de fibras químicas
598,Fabricación de focos
599,Fabricación de gases industriales
600,Fabricación de herrajes y cerraduras
601,Fabricación de herramientas de mano metálicas sin motor
602,Fabricación de hilos para coser y bordar
603,Fabricación de huaraches y calzado de otro tipo de materiales
604,Fabricación de hules sintéticos
605,Fabricación de instrumentos musicales
606,"Fabricación de jabones, limpiadores y dentífricos"
607,Fabricación de juguetes
608,Fabricación de ladrillos no refractarios
609,Fabricación de laminados de plástico rígido
610,Fabricación de laminados y aglutinados de madera
611,Fabricación de llantas y cámaras
612,Fabricación de lámparas ornamentales
613,Fabricación de maquinaria y equipo agrícola
614,Fabricación de maquinaria y equipo para envasar y empacar
615,Fabricación de maquinaria y equipo para la construcción
616,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas
617,Fabricación de maquinaria y equipo para la industria de la impresión
618,Fabricación de maquinaria y equipo para la industria de la madera
619,Fabricación de maquinaria y equipo para la industria del hule y del plástico
620,Fabricación de maquinaria y equipo para la industria del vidrio y otros minerales no metálicos
621,Fabricación de maquinaria y equipo para la industria extractiva
622,Fabricación de maquinaria y equipo para la industria metalmecánica
623,Fabricación de maquinaria y equipo para la industria textil
624,Fabricación de maquinaria y equipo para levantar y trasladar
625,Fabricación de maquinaria y equipo para otras industrias manufactureras
626,Fabricación de maquinaria y equipo pecuario
627,Fabricación de material desechable de uso médico
628,Fabricación de materias primas para la industria farmacéutica
629,Fabricación de motocicletas
630,"Fabricación de motores de combustión interna, turbinas y transmisiones"
631,Fabricación de motores y generadores eléctricos
632,Fabricación de motores y sus partes para vehículos automotrices
633,Fabricación de muebles de baño
634,Fabricación de muebles de oficina y estantería
635,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería"
636,Fabricación de máquinas fotocopiadoras
637,Fabricación de otra maquinaria y equipo para el comercio y los servicios
638,Fabricación de otra maquinaria y equipo para la industria en general
639,Fabricación de otras partes para vehículos automotrices
640,Fabricación de otro equipo de transporte
641,Fabricación de otros equipos de comunicación
642,"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico"
643,Fabricación de otros productos a base de minerales no metálicos
644,Fabricación de otros productos de cartón y papel
645,Fabricación de otros productos de cemento y concreto
646,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
647,Fabricación de otros productos de hierro y acero
648,Fabricación de otros productos de hule
649,Fabricación de otros productos de madera
650,Fabricación de otros productos de plástico con reforzamiento
651,Fabricación de otros productos de plástico de uso industrial sin reforzamiento
652,Fabricación de otros productos de plástico sin reforzamiento
653,Fabricación de otros productos de vidrio
654,Fabricación de otros productos eléctricos
