,PRODUCTO,PRECIO_BS,PRECIO_USD,PRECIO_MEX
123,ACEITE FULL SYNTHETIC SN 5W30 VENOCO GAL,55.56,5.428431851489986,105.21658036150465
124,SANGRIA MAL PORTADA 175LT,42.65,4.167073766487543,80.7683072789448
125,REFRESCO GLUP 2LT COLA,10.21,0.9975574010747437,19.33515632633122
126,LECHE POLVO DOBON 400GR COMPLETA,38.38,3.7498778700537376,72.68200781631657
127,AGUA MINERAL MINALBA 600ML,7.83,0.7650219833903273,14.82803859306302
128,ABRIDOR DE BOTELLA SFRONT COLORES VARIOS,45.23,4.419149975574011,85.65417440156327
129,ABRILLANTADOR KEM 4KG NEUTRO AL FRIO,55.56,5.428431851489986,105.21658036150465
130,ABRILLANTADOR KEM 4KG NEUTRO AL FRIO,40.01,3.909135319980459,75.76881533952125
131,ACEITE 4 TIEMPOS INCA PARA MOTO,40.01,3.909135319980459,75.76881533952125
132,ACEITE ADEREZO OLIVA BOA MESA PLAS 1LT,77.52,7.574010747435271,146.80326331216415
133,ACEITE ADEREZO OLIVA BOA MESA PLAS 1LT,77.52,7.574010747435271,146.80326331216415
134,ACEITE COAMO SOYA 900ML,77.52,7.574010747435271,146.80326331216415
135,ACEITE CREMOSO RHELEN 250ML C/ARNICA,69.22,6.763067904250122,131.085163654128
136,ACEITE D/CAJA  ATF DEXRON II SPEED 946ML,37.87,3.7000488519785053,71.71619687347338
137,ACEITE FLUIDO DEXRON III INCA,37.87,3.7000488519785053,71.71619687347338
138,ACEITE FLUIDO DEXRON VI INCA 0946LT,37.87,3.7000488519785053,71.71619687347338
139,ACEITE FULL SYNTHETIC SN 5W30 VENOCO GAL,37.87,3.7000488519785053,71.71619687347338
140,SANGRIA MAL PORTADA 175LT,42.65,4.167073766487543,80.7683072789448
141,REFRESCO GLUP 2LT COLA,10.21,0.9975574010747437,19.33515632633122
142,LECHE POLVO DOBON 400GR COMPLETA,38.38,3.7498778700537376,72.68200781631657
143,AGUA MINERAL MINALBA 600ML,7.83,0.7650219833903273,14.82803859306302
144,ABRIDOR DE BOTELLA SFRONT COLORES VARIOS,37.87,3.7000488519785053,71.71619687347338
145,ABRILLANTADOR KEM 4KG NEUTRO AL FRIO,55.09,5.382510991695164,104.32651929653152
146,ABRILLANTADOR KEM 4KG NEUTRO AL FRIO,35.97,3.5144113336590133,68.11807767464583
147,ACEITE 4 TIEMPOS INCA PARA MOTO,64.74,6.325354176844162,122.60117733268198
148,ACEITE ADEREZO OLIVA BOA MESA PLAS 1LT,64.74,6.325354176844162,122.60117733268198
149,ACEITE ADEREZO OLIVA BOA MESA PLAS 1LT,36.09,3.526135808500245,68.345327308256
150,ACEITE COAMO SOYA 900ML,64.74,6.325354176844162,122.60117733268198
151,ACEITE CREMOSO RHELEN 250ML C/ARNICA,64.74,6.325354176844162,122.60117733268198
152,ACEITE D/CAJA  ATF DEXRON II SPEED 946ML,22.2,2.169027845627748,42.04118221787983
153,ACEITE FLUIDO DEXRON III INCA,41.91,4.094772838299951,79.3669345383488
154,ACEITE FLUIDO DEXRON VI INCA 0946LT,41.91,4.094772838299951,79.3669345383488
155,ACEITE FULL SYNTHETIC SN 5W30 VENOCO GAL,51.41,5.02296042989741,97.35753053248656
156,SANGRIA MAL PORTADA 175LT,42.65,4.167073766487543,80.7683072789448
157,REFRESCO GLUP 2LT COLA,10.21,0.9975574010747437,19.33515632633122
158,LECHE POLVO DOBON 400GR COMPLETA,38.38,3.7498778700537376,72.68200781631657
159,AGUA MINERAL MINALBA 600ML,7.83,0.7650219833903273,14.82803859306302
160,ABRIDOR DE BOTELLA SFRONT COLORES VARIOS,37.4,3.6541279921836836,70.82613580850025
161,ABRILLANTADOR KEM 4KG NEUTRO AL FRIO,41.79,4.08304836345872,79.13968490473864
162,ABRILLANTADOR KEM 4KG NEUTRO AL FRIO,43.57,4.256961406936981,82.51055446995605
163,ACEITE 4 TIEMPOS INCA PARA MOTO,29.92,2.923302393746947,56.6609086468002
164,ACEITE ADEREZO OLIVA BOA MESA PLAS 1LT,29.92,2.923302393746947,56.6609086468002
165,ACEITE ADEREZO OLIVA BOA MESA PLAS 1LT,29.92,2.923302393746947,56.6609086468002
166,ACEITE COAMO SOYA 900ML,29.92,2.923302393746947,56.6609086468002
167,ACEITE CREMOSO RHELEN 250ML C/ARNICA,29.92,2.923302393746947,56.6609086468002
168,ACEITE D/CAJA  ATF DEXRON II SPEED 946ML,15.79,1.5427454811919883,29.902264289203714
169,ACEITE FLUIDO DEXRON III INCA,24.48,2.3917928676111386,46.358925256472894
170,ACEITE FLUIDO DEXRON VI INCA 0946LT,14.09,1.3766487542745482,26.682894479726432
171,ACEITE FULL SYNTHETIC SN 5W30 VENOCO GAL,19.59,1.9140205178309722,37.098502686858815
172,SANGRIA MAL PORTADA 175LT,42.65,4.167073766487543,80.7683072789448
173,REFRESCO GLUP 2LT COLA,10.21,0.9975574010747437,19.33515632633122
174,LECHE POLVO DOBON 400GR COMPLETA,38.38,3.7498778700537376,72.68200781631657
175,AGUA MINERAL MINALBA 600ML,7.83,0.7650219833903273,14.82803859306302
