1788,Tory Lanez,Broke In A Minute,4xqIYGwwZTEem9U8A42SPF,83
263,Demi Lovato,I Love Me,2IHLaN6wwYKQ3S24NsQqpA,83
75,Sech,Relación,4lMOQR1rRW5hJgJXOtKraL,83
43,Bad Bunny,Vete,2n7ohqg1s68ToAHh4u9mcW,83
91,KAROL G,Follow,2w1rq80FIrbxeJy9WYURxw,83
267,Lauv,i'm so tired...,4vjpLMyL3ZO6aphdYr8XYw,83
367,Kygo,I'll Wait,6Q3K9gVUZRMZqZKrXovbM2,83
47,Daddy Yankee,Definitivamente,113PlnpZbHd3WIqeYjhZWv,83
217,Drake,Toosie Slide,466cKvZn1j45IpxDdYZqdA,83
227,ITZY,WANNABE,6tCssnvTUREcperDOUTqvA,83
20,J Balvin,Negro,2hsA9YWuF3C9Gosi4dpjJN,82
223,Justin Bieber,Yummy,16wAOAZ2OkqoIDN7TpChjR,82
1820,Alicia Keys,Underdog,3FGiFUJRRp5RGikVrs6kig,82
162,Dua Lipa,Hallucinate,1nYeVF5vIBxMxfPoL0SIWg,82
134,Dua Lipa,Levitating,39LLxExYz6ewLAcYrzQQyP,82
1707,Tones And I,Never Seen The Rain,3FHLkTWV2QvC8J0YhX4muT,82
6,Christian Nodal,Se Me Olvidó,5Xitt5a5uLQ1QtYdFxmi9e,82
1537,Joel Corry,Lonely,2ZEq4HT450Ye9IFGPTl9qV,82
322,Drake,Demons (feat. Fivio Foreign & Sosa Geek),05aZ9sAU1YXndHv0FMi9iW,82
693,Halsey,Graveyard,2ufmtcIFdFpuUYBPXK5f67,82
702,SZA,The Other Side (from Trolls World Tour),463PQggkmk5tTw8ug0ahOX,82
365,Kygo,Freedom,5Gj1wG8b12VQdEd3hUuSwo,82
37,Reik,Si Me Dices Que Sí,56Ta1O7Jxxpjnc6cWdDKUo,82
84,Sebastian Yatra,TBT,4s45VgkknMFkdiGoUcjxQU,82
59,J Balvin,Gris,1syf62zw48zu4FrPwMtDHk,82
93,Myke Towers,Girl,43NqTeL8pgBxKHPMiJKUP5,82
301,Future,D4L,5fHrHoJKfCgBd35zwIBmUK,82
1278,Lil Uzi Vert,That Way,5raTDhlbxFDnpn89bxArdH,82
290,Drake,Time Flies,5H4mXWKcicuLKDn4Jy0sK7,82
44,Camilo,Por Primera Vez,0gWbAFRcUyZKdfUxEOuOiD,82
1051,Nea,Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,82
40,J Balvin,Morado,35KmOEIUqAGn02t7n4qaIr,82
50,Bad Bunny,Soliá,7sOfmPd18RWp3FoCzpa7Kw,81
326,Ali Gatie,What If I Told You That I Love You,74D7JUfU6HYeMx4bZhsHnG,81
72,Bad Bunny,Hablamos Mañana,1V8XneTrX6kKeoxYbk4x6h,81
249,Selena Gomez,Rare,7HMmFQsKsljwTw8bS7lu19,81
289,Drake,Not You Too (feat. Chris Brown),3Q4gttWQ6hxqWOa3tHoTNi,81
283,Drake,Desires (with Future),7eYAHC0RbBF9eaqWzT34Aq,81
63,Bad Bunny,Está Cabrón Ser Yo,4saHEjXw7O1NXJOzBkUKKG,81
618,Martin Garrix,Drown (feat. Clinton Kane),4RVtBlHFKj51Ipvpfv5ER4,81
1905,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",4iiWcajF1fEUpwcUewc464,81
62,Bad Bunny,25/8,4NqQaovM14WR2hNPMFxgjb,81
1002,Bazzi,Young & Alive,5RsKelNxucrDxgMbZ3vd3W,81
1544,Megan Thee Stallion,Captain Hook,1E3VQQWFQAPJkXfYHjqWoI,81
53,Bad Bunny,Una Vez,5J7teKIJGtqVypgYI6sqXj,81
645,Alesso,Midnight (feat. Liam Payne),4ZTTUAjJCd4NMZmIU7RB4c,81
1769,Lil Xxel,LMK,0efL46uAuNEfukXQYsbPlX,81
935,Lauv,Mean It,3uc8AGNL0KbvISIrjnfRvN,81
66,Camilo,Favorito,0jT8Nl0shPS8115is0wD2Q,81
17,Banda Sinaloense MS de Sergio Lizárraga,Qué Maldición,2RxC2peY3FtrurYmbbmanr,81
245,Lauv,Who (feat. BTS),2qG81jL9UIP54uS8gYyP4k,81
1633,Bankrol Hayden,Costa Rica,2iObjOsy2vpsariW4Y7hQg,80
780,Lauv,Modern Loneliness,1eyek0KJEh2v5HQ9uQSybb,80
177,Dua Lipa,Love Again,4rPkN1FMzQyFNP9cLUGIIB,80
174,Casper Magico,Sola & Vacía,46V4kseB66GjFGklCgynGX,80
55,J Balvin,Rosa,464uJVLmr0fDJGXOnciaDe,80
197,Dua Lipa,Cool,2nMOodYNHBAQ3Kc1QNimZU,80
166,Dua Lipa,Pretty Please,6DXZiYUbrYgrVIhfX3U9Z2,80
331,Drake,War,1I55Ea0zVoSKs6MqW7DQ3i,80
751,Niall Horan,Black And White,7rpNuuoMbid56XkDsx2FjE,80
65,Bad Bunny,Que Malo,53v2u51nq3CxiKUNphRzP1,80
1440,Alexander 23,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,80
324,Drake,When To Say When,5TCBWmEBrin7etRa4Lswr1,80
228,Rvssian,No Me Ame,2AuWgceaQyfMoI3EGavwGb,80
1366,blackbear,me & ur ghost,4yJiXq86uM56uIfIZgE440,80
261,The Weeknd,Hardest To Love,6kWxIqQDsKFYCJGbU4AjCX,80
1084,Niall Horan,No Judgement,5IUOU5xkzGHsRFOYNu3GSK,80
488,5 Seconds of Summer,Easier,2txofPPP3lkiNLTUUHeJHS,80
515,5 Seconds of Summer,Old Me,4POHzEwNTCYaIvqCUp3NnO,80
470,Tones And I,Bad Child,1qCmZnC1FUpNgOydIzqIPC,80
319,Drake,Deep Pockets,3IvMYBE7A3c7to1aEcfFJk,80
298,The Weeknd,Scared To Live,4BGZF4oLbTL0pWm7C18pbv,80
80,Lenny Tavárez,La Pared 360,2w8SKQCnT2YQK1qCqKl2uW,80
323,Drake,Landed,3KixNgUEaDtrKJVzdqjU5q,80
284,BTS,Filter,0ono6UCNVZ1XqOm6j78Blu,80
69,Bad Bunny,La Zona,5kqNIqFjijuzvVLhuY9B8j,80
193,Ovy On The Drums,Inolvidable,0OTtnwUO8natNWSwdZvXVF,79
192,Dua Lipa,Future Nostalgia,6zrJLhslleCHby0wbUnvVy,79
304,The Weeknd,Alone Again,6b5P51m8xx2XA6U7sdNZ5E,79
338,Drake,Losses,6fLVTVaHWaEfVKfEgbkf4D,79
354,The Weeknd,Too Late,2K9Ovn1o2bTGqbsABGC6m3,79
462,Joji,Run,6p8eEdiZLKJH8tcjGZuNTK,79
695,Selena Gomez,Feel Me,6XXYdF6pJR1K3wKvuxmu7n,79
358,The Weeknd,Faith,3orEOtd8CPL8GFlpRpKuoE,79
576,K-391,End of Time,67O8CWXxPsfz8orZVGMQwf,79
458,BTS,My Time,4vTgx6h4seHvkuFh84JXYP,79
578,Kygo,Forever Yours - Avicii Tribute,3o1CUVeHIid49sabk6A6Nf,79
335,Drake,From Florida With Love,0YkUwXxnTkeJBvt5upeEtP,79
229,Selena Gomez,Look At Her Now,7eOkHIcaoUhngxxypM5Ajr,79
427,The Weeknd,Escape From LA,1sOW4PuG5X3Ie3EXUhAopJ,79
366,BTS,Black Swan,24NuEDgyRIljwSyY0lsr7b,79
361,BTS,ON (Feat. Sia),3IB5qOeMayvpOdHxYCL5tZ,79
527,V,Sweet Night,39EXZNMxb4RBHlRjnRaOKp,79
1610,Madison Beer,Good In Goodbye,1GVF9369j7InydwGztCDIZ,79
67,J Balvin,Verde,3HTbI3yUJQw3fP0Po8qLcD,79
76,Bad Bunny,<3,4MZSqgwlE71CWZ6qQ3gkKm,79
787,Khalid,Eleven,1ToprX3cpBiXoAe5eNSk74,79
779,Tyga,Bored In The House,5OxveXfvga2t0se21d96Ow,79
90,Myke Towers,La Playa - Remix,70zg99pT51vB4wlMS7e4q7,79
116,KHEA,Dónde Estás,16DNJ8y6k97DxuMyV49W7V,79
1404,Nicki Minaj,Yikes,75dLEqanQTupF3dtP9exT5,79
171,Nio Garcia,La Jeepeta - Remix,1mohfLaTJtB2RplHLQVM70,79
1387,OneRepublic,Better Days,2K0r5GD5zYlEMx2M7ZMcqG,79
87,Maluma,ADMV,3eJMSq78dDaFb7VvhNFnq6,79
1543,Lauv,Tattoos Together,1Srt81FTalOhRw7t7l8Yh8,79
785,ZICO,Any song,1iIhGHzzrzqQfuNkFI2qAn,79
934,Tiagz,They Call Me Tiago (Her Name Is Margo),489AYiTB0ylShgV29tihMo,79
1300,Hailee Steinfeld,I Love You's,28Tv8zltFDr5wBCG3Pfky4,79
1164,Lauv,Feelings,0s26En1JoJhVj32vizElpA,79
977,Little Mix,Break Up Song,3fEoJxnPpfIHwFHKiFtqbA,79
19,Danna Paola,Sodio,7jYZU1CIruZU3puB5tiYiW,79
102,Dalex,Mejor,1mF6sMUsRU9MisrdB9qWvg,79
1865,VIZE,Thank You [Not So Bad],4AqN8IdKCfItCSbuaFch81,78
54,Danna Paola,Mala Fama,2D9itdl85AQVNpTfrxvUGj,78
70,J Balvin,Blanco,5pXy29xzxR3aTB0SYRI590,78
64,Residente,René,6gm12xlADJwiBbHIKBXzGW,78
77,Camilo,El Mismo Aire,3a29UVSEIj6x3YcfKs2rdi,78
474,The Weeknd,Snowchild,3WlbeuhfRSqU7ylK2Ui5U7,78
543,BTS,00:00 (Zero O’Clock),4AlihYDqxXshKhvh5tnMfP,78
41,Camilo,La Mitad,63Zaf8Rci6eOUPqDQ4fUFx,78
132,Justin Quiles,PAM,0eeKDrQxjqNl5bX5VCHDcn,78
1596,Wiz Khalifa,Contact (feat. Tyga),0WLhJ2NBuZHuoHY8pLVHJ0,78
1077,The 1975,If You’re Too Shy (Let Me Know) - Edit,3iEqGBZ2wcpVzhiAcwXVC6,78
1857,Lauv,Invisible Things,1ShHhJlzaLuoZbJ3aP4z0m,78
96,Bad Bunny,P FKN R,0fgsKar6uBO08vzHXkTjWi,78
704,R3HAB,Creep,5LRxdeykOfvKb1aWGrrGyo,78
21,Bad Bunny,BYE ME FUI,0FktnzDqjClqU6iqOZVEs2,78
24,Bad Bunny,PA' ROMPERLA,5XqCz18k96K8tx6DAYM97i,78
1368,OneRepublic,Didn't I,6ikDZX0oc8EKGj2vdMAEDv,78
486,BTS,Louder than bombs,3op7HNwLli54MBjFGzIlZO,78
744,(G)I-DLE,Oh my god,2DmRXiyn03tOqKgEJXlaiJ,78
656,Lola Indigo,4 besos,49QwoSLuV69Fd8bwTqdZvs,78
1289,Alan Walker,Heading Home,22O2Zdfj3jnJZDSzlDMAJp,78
637,Justin Bieber,Come Around Me,2o9LAypwGH4ctV0i9boo6d,78
635,Mac Miller,Good News,1DWZUa5Mzf2BwzpHtgbHPY,78
165,Dua Lipa,Good In Bed,6uAFJ75WDAoAPyCWJAtvks,78
619,5 Seconds of Summer,Wildflower,353IDEfNzPJmGNRnOi5kJ1,78
441,BTS,We are Bulletproof : the Eternal,44WLOqH7QayQOQdeUHeKUK,78
513,BTS,Black Swan,3bkkMZEAhx7rTVz1C0itRQ,77
95,J Balvin,Arcoíris,5zzbORcD0GwLY0wQHP1Xs1,77
697,Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,77
514,BTS,Friends,7w05lsU2VLSeiT8Nukrv5M,77
485,BTS,UGH!,1aKuG1GG76xPLUkjBbQo3W,77
104,Bad Bunny,Puesto Pa' Guerrial,5gCg2qMPzKkW4jS4dBKdDs,77
941,Diplo,Lonely (with Jonas Brothers),0prJ6Nafa5rklRc8rZUNSG,77
473,C. Tangana,Nunca Estoy,6f4LYJwICqxoAILj82kwB0,77
478,Tame Impala,Borderline,5hM5arv9KDbCHS0k9uqwjr,77
1286,Eminem,Those Kinda Nights (feat. Ed Sheeran),0VSzREd1OjEWJ9tXoFHRQH,77
180,Rauw Alejandro,Ponte Pa' Mi,10u2iOS0r6plfb9GknD7g4,77
643,EVERGLOW,DUN DUN,3CyCjgTHFzqucmECajq8QA,77
209,David Bisbal,Si Tú La Quieres,35qwAQ3oZeKAMhR3hCV9IM,77
1774,Hailee Steinfeld,Wrong Direction,7GCVboEDzfL3NKp1NrAgHR,77
23,Christian Nodal,AYAYAY!,1yXOIdoYQiLMDzx9UHwD29,77
782,Regard,Secrets,66W1rVTnEv86dIkFhoiElg,77
157,Natti Natasha,Despacio,203uubEQA07to1kbro35qQ,77
182,Farruko,Loco - Remix,6nGM44ZP7vSo0istUW2MOq,77
27,Bad Bunny,MÁS DE UNA CITA,4EJHKSnHENfjOxXWryyNtL,77
49,Natanael Cano,Pacas Verdes,2yFQXRSMJgaixzpP6gn8jr,77
57,Carlos Rivera,Perdiendo la Cabeza,2GTCK8zYHwkcu0i0jtKjFz,77
838,Halsey,Without Me,6FZDfxM3a3UCqtzo5pxSLZ,77
230,Dua Lipa,Boys Will Be Boys,0vQcyuMEfRBd21ojZ62N2L,77
901,Troye Sivan,Take Yourself Home,6YndZBGmLySgsVScckWkmO,77
1695,Princess Nokia,I Like Him,68UU9oaQtMDnh6PRlW842H,77
26,Yandel,CANCIÓN CON YANDEL,3pm4XtcsRIFFtH2UErk62R,77
31,Bad Bunny,CÓMO SE SIENTE - Remix,6KFjMJJq8UZpfUyDgeH0Yl,76
29,Bad Bunny,SI ELLA SALE,1zaDh3qaGSeSmulNyWlUxm,76
30,Bad Bunny,BAD CON NICKY,5bmSver2b3ZXyuyLKtgnFI,76
81,Eslabon Armado,Con Tus Besos,6WYB1odDfMPVMyp1QxFInT,76
1244,The Pussycat Dolls,React,0GWYApQBwErVPkyXYCTJjI,76
461,El Alfa,4K,4xI3U4sDj1TPmO9Iz5TkYp,76
45,Matisse,Imposible Amor,0fehAJVm4Yk9a1jlKi1B0q,76
1163,PARTYNEXTDOOR,LOYAL (feat. Drake),3LnJM1B5Mjgx5LfT9plXUU,76
190,CNCO,Honey Boo,0P0UtGDZpUMWoFCuDTn78K,76
120,Sebastian Yatra,Falta Amor,2ukaTb7sSeWHdr22n1xTBs,76
502,The Weeknd,Repeat After Me (Interlude),40U8d12pC5UHqmHwXjHjjl,76
238,Jawsh 685,Laxed - Siren Beat,47CK1SBOe7VR65GEmZmPjk,76
714,Khalid,Eleven,18O00Y7yrkJ0pRXm1n21Og,76
686,Tame Impala,Lost In Yesterday,5JWPUEov2wlX7c0jhYZpeB,76
1651,Halsey,Still Learning,2Mfv5HaqnI18Q9JRv9hqnn,76
644,BTS,Inner Child,4BKOjYosPhw334moS3wlbO,76
614,The Weeknd,Nothing Compares - Bonus Track,5ciyqWW5YuGqF4Avu7uwry,76
155,Dalex,Perfume,2r5AwzCIgWw57ZYXuSIji6,76
1968,jxdn,Comatose,1FIv5SzIBWmCF5Xmt8N6BD,76
572,BTS,Moon,1xfXXujIlLZAx5wpu46Nyk,76
907,GOT7,NOT BY THE MOON,1pmfd0ohjfh1qXPWvjaC1o,76
235,The Strokes,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,76
871,Tiagz,My Heart Went Oops,3Nhfs2Cx7z2JWHetYkzSfO,76
525,Selena Gomez,Boyfriend,5EBtY2shIV1vmY4bnvvV6T,76
1523,Sam Feldt,Hold Me Close (feat. Ella Henderson),24aN8j7dBw0FxxKUBlCtd6,76
115,Camilo,Por Primera Vez,0pgj4EzB1XRqgZemoMNG5D,76
1526,Oliver Tree,Let Me Down,0vVkuvsZVOC83mgZAtemK5,75
1801,"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,75
1672,Migos,Give No Fxk,6ZelF5APDN5r6XnFqcnvWR,75
1071,THE SCOTTS,THE SCOTTS,7JSL1X95BlGnDyXAScKolp,75
1778,Tiësto,Nothing Really Matters,1horDZRb64nwbtDXymIzLw,75
1641,Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",0GQ5bFTVFFKpwNPc7KwQnB,75
1627,Don Toliver,Euphoria (feat. Travis Scott & Kaash Paige),13QU8HBEBaSTZGq1HzQe9S,75
1014,Justin Bieber,All Around Me,5Py8zRKGkZvgHniVVtvNCN,75
632,BTS,Interlude : Shadow,2Nib4r0saYQf2pUV4RFDhl,75
1251,John Legend,Conversations in the Dark,6TYlDTa9AQDvjqwbxlvFyI,75
1846,Bazzi,I Got You,2QNndTbo9mvgOoOKJvpEl2,75
1294,Taylor Swift,Only The Young - Featured in Miss Americana,2slqvGLwzZZYsT4K4Y1GBC,75
546,The Weeknd,Until I Bleed Out,2BcnxwxBuar5wjCaLqm5N3,75
561,The Weeknd,Missed You - Bonus Track,38uNCW1do0LKfMIt4MDkPo,75
808,Justin Bieber,Habitual,40qyPyljksBEqlNw5sW37T,75
1601,Frank Ocean,Cayendo (Side A - Acoustic),72794Eag03xdy7TO0KNuid,75
1827,Lil Wayne,"I Do It (ft. Big Sean, Lil Baby)",1bRO28yzxgO3y3UmNR29TZ,75
507,Kafu Banton,Tu Eres Un Bom Bom - Remix,2635EEV2Oi6wg6GV2TPYVx,75
1280,Yves V,Not So Bad (feat. Emie),1XFHbzTikXks9CsMq4v8Q3,75
562,BTS,Outro : Ego,3r9FFjLrAIQjoR8pSHVPC9,75
318,TINI,Recuerdo,3DjInVTE03icrWsq2UZV9n,75
1211,Eminem,Darkness,5SiZJoLXp3WOl3J4C8IK0d,75
176,Wisin & Yandel,Ganas de Ti,4kuQJb8ghj6268fBTtB3bX,75
117,Morat,No Termino,3YjguG5v9vS5o8Cnciy76z,75
33,Bad Bunny,BENDICIONES,2CoMYp2uIKsT09nreEZnZn,75
128,Camilo,Tutu,1Ol5LmdNDNpFu1oNwfgkux,75
247,El Alfa,Coronao Now (Remix),047WmwIeerHyIUstFAEz5A,75
52,El Fantasma,Palabra de Hombre,4UiaP0wBuy9N9voD91OZOg,75
198,Feid,BORRAXXA,2Y1EBfErprYwOlgluV9neb,75
113,Piso 21,Dulcecitos (feat. Zion & Lennox),3UZ8b8lAZiaqqH6ggZqxCR,75
137,Ovy On The Drums,Sigo Buscandote,4z2c6wyTY9xgiPYUvznwUE,75
276,Anuel AA,3 de Abril,1c2oYPFni5vth1v9M7fYZb,75
184,Dalex,Bellaquita - Remix,4GGwM2Krtlx9G9ii1RaEOx,75
167,Abraham Mateo,No Encuentro Palabras,5NJSLryp5WviTmppF33Peg,75
804,Selena Gomez,Souvenir,3ZCBSFcZSRM9Z48ew28Zrf,74
1789,Eminem,Unaccommodating (feat. Young M.A),0q2vG0UVuy6ajjcpkQHdZM,74
35,Bad Bunny,EN CASITA,2DhNdoHxavs7Qtf5MnhZD0,74
183,Maluma,Qué Chimba,0rIZ49wxDf8H2LXOKmAMW5,74
375,Lil Pump,Illuminati,0IGQvkMGwRuL0wWzVQw1Bc,74
210,Cali Y El Dandee,Borracho De Amor,4QtQgsK7DChmU4EM5NtqyK,74
36,Bad Bunny,RONCA FREESTYLE,3XZeOzJ9tqnu58YP6cqApI,74
986,MEDUZA,Born To Love (feat. SHELLS),2IL2OsHC29dlszciTnOw3m,74
1494,Drake,Toosie Slide,1d2eMMrAuIsw85u3YklKoc,74
985,Lil Nas X,Rodeo - feat. Nas,7ikRId3U9AXd6tfF2fbItC,74
