34,The Fearless Invention of One of L.A.’s Greatest Poets,https://www.newyorker.com/magazine/2020/05/18/the-fearless-invention-of-one-of-las-greatest-poets,"Mon, 11 May 2020 10:00:00 +0000","Wanda Coleman’s work tallies and transcends the difficulties of being a black woman in a profession that hardly pays, Dan Chiasson writes."
35,"“The Afterlife,” by Jonathan Lethem",https://www.newyorker.com/magazine/2020/05/18/the-afterlife,"Mon, 11 May 2020 10:00:00 +0000","Fiction by Jonathan Lethem: “R. faintly recalled someone, long ago, trying to explain this place to him, the system that prevailed. Of course, he’d paid no attention.”"
36,The Secret Lives of Fungi,https://www.newyorker.com/magazine/2020/05/18/the-secret-lives-of-fungi,"Mon, 11 May 2020 10:00:00 +0000","They shape the world—and offer lessons for how to live in it, Hua Hsu writes."
37,The Engineers Taking on the Ventilator Shortage,https://www.newyorker.com/magazine/2020/05/18/the-engineers-taking-on-the-ventilator-shortage,"Mon, 11 May 2020 10:00:00 +0000","The newest designs are smart, streamlined, and inexpensive, James Somers writes. Will they be enough?"
38,The Myth of Henry Kissinger,https://www.newyorker.com/magazine/2020/05/18/the-myth-of-henry-kissinger,"Mon, 11 May 2020 10:00:00 +0000","Nixon’s Secretary of State was a far less remarkable figure than his supporters, his critics—and he himself—believed, Thomas Meaney writes."
39,Anita Kunz’s “Class of 2020”,https://www.newyorker.com/culture/cover-story/cover-story-2020-05-18,"Mon, 11 May 2020 10:00:00 +0000","Françoise Mouly interviews the artist Anita Kunz about “Class of 2020,” her illustration for the May 18, 2020, issue of The New Yorker."
40,Igor Levit Is Like No Other Pianist,https://www.newyorker.com/magazine/2020/05/18/igor-levit-is-like-no-other-pianist,"Mon, 11 May 2020 10:00:00 +0000","Alex Ross on Igor Levit, who, during Germany’s shutdown, streamed more than fifty performances from home and is questioning what a concert can be."
41,"“Men Waiting for a Train,” by David Biespiel",https://www.newyorker.com/magazine/2020/05/18/men-waiting-for-a-train,"Mon, 11 May 2020 10:00:00 +0000","Poetry by David Biespiel: “For / A moment, nothing is being celebrated.”"
42,What Mutual Aid Can Do During a Pandemic,https://www.newyorker.com/magazine/2020/05/18/what-mutual-aid-can-do-during-a-pandemic,"Mon, 11 May 2020 10:00:00 +0000",Jia Tolentino on the radical practice that is suddenly getting mainstream attention and could change how we help one another.
43,What Would Room Rater Say?,https://www.newyorker.com/magazine/2020/05/18/what-would-room-rater-say,"Mon, 11 May 2020 10:00:00 +0000","Bruce Handy writes about Beto O’Rourke’s dreary Zoom setup, Ann Coulter’s unfortunate chartreuse, and the surprising intimacy of seeing inside—and rating—talking heads’ homes."
44,The Last Quarantine Think Piece,https://www.newyorker.com/magazine/2020/05/18/the-last-quarantine-think-piece,"Mon, 11 May 2020 10:00:00 +0000","Shouts & Murmurs by Libby Gelman-Waxner: When Ivanka speaks, in her breathy Tweety Bird-at-boarding-school burble, the effect is complete: she’s like an American Girl doll with a trust fund."
45,"“Our Days,” by Rae Armantrout",https://www.newyorker.com/magazine/2020/05/18/our-days,"Mon, 11 May 2020 10:00:00 +0000",Poetry by Rae Armantrout: “Why am I drawn / to things that make no sense?”
46,Cartoon Caption Contest,https://www.newyorker.com/magazine/cartoon-caption-contest/this-weeks-contest-2020-05-18,"Mon, 11 May 2020 04:05:00 +0000",Submit your caption.
47,"“Never Have I Ever,” Reviewed",https://www.newyorker.com/culture/on-television/never-have-i-ever-reviewed-hotness-and-hotheads,"Sun, 10 May 2020 16:00:00 +0000","Sarah Larson reviews “Never Have I Ever,” a Netflix coming-of-age series co-created by Mindy Kaling and starring Maitreyi Ramakrishnan."
48,Imagined Histories of Artists and Their Parents,https://www.newyorker.com/humor/daily-shouts/imagined-histories-of-artists-and-their-parents,"Sun, 10 May 2020 11:00:00 +0000","Nic Koller imagines humorous instances in which the parents of famous artists—including Pablo Picasso, Jean-Michel Basquiat, and Georgia O’Keeffe—react to their children’s creations."
49,How Chris Hayes Makes Sense of the “World-Historical Cataclysm”,https://www.newyorker.com/news/the-new-yorker-interview/how-chris-hayes-makes-sense-of-the-world-historical-cataclysm,"Sun, 10 May 2020 10:00:00 +0000","Isaac Chotiner interviews the MSNBC host Chris Hayes about #FireChrisHayes, how the coronavirus has changed the news environment, why Bernie Sanders lost the Democratic-primary race to Joe Biden, and recent upheavals at NBC News."
