Artista,Album,No. de canciones del album,Precio del album,Moneda del album,URL del album,Imagen del album
Coldplay,Live 2003,12,9.99,USD,https://music.apple.com/us/album/live-2003/695900885?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/d5/35/aa/d535aaae-1f0b-ea88-0386-8a109730ee33/source/100x100bb.jpg
Coldplay,Prospekt's March - EP,9,7.99,USD,https://music.apple.com/us/album/prospekts-march-ep/1122792846?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music60/v4/da/42/0e/da420ee2-72ed-4a7b-7897-2a8fcd10f856/source/100x100bb.jpg
Coldplay,Viva la Vida or Death and All His Friends,10,9.99,USD,https://music.apple.com/us/album/viva-la-vida-or-death-and-all-his-friends/1122773394?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music30/v4/aa/13/0e/aa130e1a-fbb8-bf02-5014-726bbb8f81f6/source/100x100bb.jpg
Coldplay,Christmas Lights - Single,1,0.69,USD,https://music.apple.com/us/album/christmas-lights-single/693525980?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/bb/7c/47/bb7c4728-eedc-6553-6f8b-b958ff499156/source/100x100bb.jpg
Coldplay,Fix You - EP,4,4.99,USD,https://music.apple.com/us/album/fix-you-ep/693488507?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/b1/35/48/b13548ff-5c45-01a7-9ed8-ba993edc1566/source/100x100bb.jpg
Coldplay,Violet Hill - Single,1,1.29,USD,https://music.apple.com/us/album/violet-hill-single/726107095?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/fd/b2/6f/fdb26f06-49ff-00b9-be78-a258a7627ca6/source/100x100bb.jpg
Coldplay & Rihanna,Princess of China - EP,4,4.99,USD,https://music.apple.com/us/album/princess-of-china-ep/699909389?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music4/v4/ce/35/fd/ce35fdad-75d8-ddcf-5a3d-ee63a23f2898/source/100x100bb.jpg
Coldplay,Kaleidoscope - EP,5,5.99,USD,https://music.apple.com/us/album/kaleidoscope-ep/1248904974?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music117/v4/32/a5/bc/32a5bc34-1c1c-8f0f-8ebf-def077ffcac0/source/100x100bb.jpg
Coldplay,Hymn for the Weekend (Seeb Remix) - Single,1,1.29,USD,https://music.apple.com/us/album/hymn-for-the-weekend-seeb-remix-single/1113524613?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music20/v4/c0/64/3d/c0643d0b-fdd9-b722-4687-c8a1d1b805dd/source/100x100bb.jpg
Coldplay,Brothers & Sisters - EP,3,3.87,USD,https://music.apple.com/us/album/brothers-sisters-ep/19917218?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music123/v4/a1/f5/04/a1f5049a-a6b9-0468-9790-d7478793a095/source/100x100bb.jpg
Coldplay,Ghost Stories: Live 2014,11,10.99,USD,https://music.apple.com/us/album/ghost-stories-live-2014/928168764?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music1/v4/25/7d/2f/257d2f50-6133-cdb1-65b4-0dc71b56d6d9/source/100x100bb.jpg
Coldplay,"Atlas (From ""The Hunger Games: Catching Fire"" Soundtrack) - Single",1,1.29,USD,https://music.apple.com/us/album/atlas-from-hunger-games-catching-fire-soundtrack-single/1445315861?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/18/0c/6f/180c6f39-da54-be63-5d1e-ade87e03ac2c/source/100x100bb.jpg
Coldplay,Live 2012,15,9.99,USD,https://music.apple.com/us/album/live-2012/693574271?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/da/02/64/da026476-6ae4-7d5e-5151-78044e3ad32c/source/100x100bb.jpg
The Chainsmokers & Coldplay,Something Just Like This (Remix Pack) - EP,6,5.99,USD,https://music.apple.com/us/album/something-just-like-this-remix-pack-ep/1229287358?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/79/73/c6/7973c67c-3bfa-46f3-9fbd-714c826a3d65/source/100x100bb.jpg
Coldplay,Everyday Life,16,9.99,USD,https://music.apple.com/us/album/everyday-life/1484143521?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/61/0b/d1/610bd117-73b1-c21d-7c9a-8c20a745264e/source/100x100bb.jpg
Coldplay,Lost? (with JAY-Z) / Viva la Vida (Live at the 51st Annual GRAMMY Awards) - Single,2,2.49,USD,https://music.apple.com/us/album/lost-jay-z-viva-la-vida-live-at-51st-annual-grammy/709134851?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/6c/03/d2/6c03d2c5-c317-22d9-bd21-52290f4ca542/source/100x100bb.jpg
Coldplay,Clocks - Single,2,1.99,USD,https://music.apple.com/us/album/clocks-single/700050905?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music4/v4/13/55/90/13559081-6d16-1b76-952b-feffaca5ea09/source/100x100bb.jpg
Coldplay,Fix You - Single,3,2.99,USD,https://music.apple.com/us/album/fix-you-single/699701307?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music49/v4/d2/e1/be/d2e1be47-6498-5e12-a714-88460d8a6d9d/source/100x100bb.jpg
Coldplay,Yellow - Single,3,2.99,USD,https://music.apple.com/us/album/yellow-single/695721212?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music7/v4/66/7b/1d/667b1d5d-8008-845c-7990-b9f5fc1727c2/source/100x100bb.jpg
Coldplay,The Scientist - Single,3,2.99,USD,https://music.apple.com/us/album/the-scientist-single/695500500?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music6/v4/14/6e/e4/146ee40d-468d-31a7-0a03-ef4a7310dbc7/source/100x100bb.jpg
Coldplay,Trouble (B-Side) - Single,3,2.99,USD,https://music.apple.com/us/album/trouble-b-side-single/726193932?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music49/v4/2c/ea/c4/2ceac485-e876-77b8-63d2-da127fc7bded/source/100x100bb.jpg
Coldplay,Viva la Vida (Prospekt's March Edition),20,11.99,USD,https://music.apple.com/us/album/viva-la-vida-prospekts-march-edition/1122778377?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music20/v4/7a/45/26/7a452669-1595-0b43-a504-10496bd30d66/source/100x100bb.jpg
Coldplay,Life In Technicolor II - Single,3,2.99,USD,https://music.apple.com/us/album/life-in-technicolor-ii-single/699701112?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music6/v4/68/07/93/68079368-89bd-1fd1-50e6-093a548c6924/source/100x100bb.jpg
Coldplay,Midnight (Giorgio Moroder Remix) - Single,1,1.29,USD,https://music.apple.com/us/album/midnight-giorgio-moroder-remix-single/865311022?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music4/v4/d7/37/7f/d7377f7f-d319-c420-9940-2a8ad7ce8f6c/source/100x100bb.jpg
Coldplay,Hypnotised - Single,1,1.29,USD,https://music.apple.com/us/album/hypnotised-single/1210140642?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/c5/83/c4/c583c46e-30e4-9a48-78e9-74393570503b/source/100x100bb.jpg
Coldplay & Rihanna,Princess of China (Radio Edit) - Single,1,1.29,USD,https://music.apple.com/us/album/princess-of-china-radio-edit-single/699603518?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music6/v4/e8/52/72/e8527211-87d1-14d2-3757-92946903f419/source/100x100bb.jpg
Coldplay,A Sky Full of Stars (Hardwell Remix) - Single,1,1.29,USD,https://music.apple.com/us/album/a-sky-full-of-stars-hardwell-remix-single/945225956?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music1/v4/89/68/06/896806a5-709c-07a3-ebb8-f3b82f4dbedb/source/100x100bb.jpg
Coldplay,Lost! - EP,4,4.99,USD,https://music.apple.com/us/album/lost-ep/726146464?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/0f/a5/fb/0fa5fb48-3dd4-f7c2-b9ee-46dc0669beac/source/100x100bb.jpg
Coldplay,In My Place - Single,3,2.99,USD,https://music.apple.com/us/album/in-my-place-single/696805671?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/30/46/50/304650cd-d054-5683-b9a1-e46fb80c94cf/source/100x100bb.jpg
